,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,campaign_site
109,H4AZ07043,"GALLEGO, RUBEN",DEM,AZ,7,House,Arizona,Democrat,https://gallegoforarizona.com/
110,H8AZ07044,"MIRANDA, CATHERINE",DEM,AZ,7,House,Arizona,Democrat,https://mirandaforhouse.com/
111,H0AZ07082,"BARNETT, JOSH",REP,AZ,7,House,Arizona,Republican,https://www.barnettforaz.com/
112,H0AZ08072,"MUSCATO, MICHAEL ARCHANGEL",DEM,AZ,8,House,Arizona,Democrat,https://www.muscato4congress.com/
115,H0AZ08098,"RODRIGUEZ, JIMMY",REP,AZ,8,House,Arizona,Republican,https://jimmy4congress.com/
117,H8AZ08158,"LESKO, DEBBIE",REP,AZ,8,House,Arizona,Republican,https://debbieleskoforcongress.com
118,H0AZ09062,"FUENTES-WOLFE, TALIA",DEM,AZ,9,House,Arizona,Democrat,http://www.taliaforcongress.com/
119,H2AZ09019,"SINEMA, KYRSTEN",DEM,AZ,9,House,Arizona,Democrat,https://kyrstensinema.com
120,H2AZ09027,"SCHAPIRA, DAVID",DEM,AZ,9,House,Arizona,Democrat,https://web.archive.org/web/2/http://www.davidforaz.com/issues
121,H8AZ09040,"STANTON, GREG",DEM,AZ,9,House,Arizona,Democrat,https://www.stantonforarizona.com/
122,H8AZ09065,"ARAUJO, HECTOR MR.",DEM,AZ,9,House,Arizona,Democrat,http://www.taliaforcongress.com/
123,H0AZ03321,"PARKER, VERNON",REP,AZ,9,House,Arizona,Republican,https://web.archive.org/web/2/http://vernonparker.com/issues
124,H0AZ09021,"TUTORA, NICHOLAS",REP,AZ,9,House,Arizona,Republican,https://tutora2020.com/
125,H2AZ06155,"GRANTHAM, TRAVIS W.",REP,AZ,9,House,Arizona,Republican,http://granthamforaz.com/
126,H4AZ09023,"WALTER, ANDREW",REP,AZ,9,House,Arizona,Republican,http://andrewwalter2014.com/
127,H6AZ09010,"GILES, DAVID VICTOR",REP,AZ,9,House,Arizona,Republican,https://www.herbertgiles.com/
128,H6AZ09036,"AGRA, JOHN",REP,AZ,9,House,Arizona,Republican,http://www.johnagra.com/
129,H8AZ09032,"LEIBSOHN, SETH MR.",REP,AZ,9,House,Arizona,Republican,https://seth4congress.com
130,H8AZ09016,"BARONESS VON BEHR, IRINA",IND,AZ,9,House,Arizona,Independent,https://baronessvonbehrforuscongress.com/
131,H8CA01257,"DENNEY, AUDREY",DEM,CA,1,House,California,Democrat,https://www.audreyforcongress.com/
133,H2CA02142,"LAMALFA, DOUG",REP,CA,1,House,California,Republican,http://www.douglamalfa.com/
134,H0CA02153,"MANGAS MONIZ, RACHEL OLIVIA",DEM,CA,2,House,California,Democrat,https://www.rachelmoniz.com/
135,H2CA06259,"HUFFMAN, JARED",DEM,CA,2,House,California,Democrat,http://www.jaredhuffman.com/
136,H4CA02098,"MENSING, DALE KENNETH",REP,CA,2,House,California,Republican,https://www.theflamingarrow.com/
137,H0CA10149,"GARAMENDI, JOHN",DEM,CA,3,House,California,Democrat,https://www.garamendi.org/
138,H0CA03128,"HAMILTON, TAMIKA",REP,CA,3,House,California,Republican,https://votetamika.org/
140,H0CA03144,"FEUCHT, J.C. SEAN",REP,CA,3,House,California,Republican,https://seanforus.com/
141,H4CA03096,"LOGUE, DANIEL",REP,CA,3,House,California,Republican,http://www.danlogue.com/
143,H0CA04175,"KENNEDY, BRYNNE",DEM,CA,4,House,California,Democrat,https://brynneforcongress.com/
144,H8CA04210,"MORSE, JESSICA",DEM,CA,4,House,California,Democrat,https://www.morse4congress.com/
145,H0CA04183,"BENZEL, JULIANNE ELIZABETH MRS.",REP,CA,4,House,California,Republican,https://www.juliannebenzel.com/
146,H8CA04152,"MCCLINTOCK, THOMAS",REP,CA,4,House,California,Republican,http://www.tommcclintock.com/
147,H8CA01109,"THOMPSON, MIKE MR.",DEM,CA,5,House,California,Democrat,https://www.mikethompsonforcongress.com/
148,H0CA05107,"GIBLIN, SCOTT",REP,CA,5,House,California,Republican,https://scottgiblinforcongress.godaddysites.com/home-1
149,H0CA06162,"EMARD, BENJAMIN",DEM,CA,6,House,California,Democrat,https://www.baeforcongress.com/
150,H6CA05195,"MATSUI, DORIS",DEM,CA,6,House,California,Democrat,http://www.matsuiforcongress.com/
151,H0CA06170,"BISH, CHRISTINE",REP,CA,6,House,California,Republican,http://bishforcongress.com
152,H0CA03078,"BERA, AMERISH",DEM,CA,7,House,California,Democrat,http://www.beraforcongress.com/
153,H0CA07129,"BURDICK, JEFF",DEM,CA,7,House,California,Democrat,https://www.burdickforcongress.com/
154,H0CA07137,"PATTERSON, ROBERT BUZZ",REP,CA,7,House,California,Republican,https://buzz4congress.com/
155,H0CA07152,"IVY, JON",REP,CA,7,House,California,Republican,https://www.jonivy.com/
157,H4CA07055,"BIRMAN, IGOR A",REP,CA,7,House,California,Republican,http://igorbirman.com/
158,H8CA07056,"GRANT, ANDREW",REP,CA,7,House,California,Republican,https://www.andrewgrantforcongress.com/
159,H0CA08101,"BUBSER, CHRISTINE",DEM,CA,8,House,California,Democrat,https://www.chrisbubser.com/
162,H8CA08112,"DOYLE, MARGE",DEM,CA,8,House,California,Democrat,https://margedoyleforcongress.com
163,H0CA08127,"STAAT, JEREMY",REP,CA,8,House,California,Republican,https://staatforcongress.com/
164,H0CA08135,"OBERNOLTE, JAY",REP,CA,8,House,California,Republican,http://electjay.com/
165,H2CA08164,"COOK, PAUL",REP,CA,8,House,California,Republican,https://www.joinpaulcook.com/
166,H4CA08111,"CONOVER, RODNEY LEE",REP,CA,8,House,California,Republican,http://www.conoverforcongress.com/
167,H8CA08120,"DONNELLY, TIMOTHY M.",REP,CA,8,House,California,Republican,https://www.donnelly4congress.com/
168,H0CA08168,"ESMUS, JEFF",NON,CA,8,House,California,Other,https://www.esmusforeveryone.com/
169,H4CA11081,"MCNERNEY, GERALD MARK",DEM,CA,9,House,California,Democrat,https://jerrymcnerney.org
171,H0CA09125,"AMADOR, ANTONIO",REP,CA,9,House,California,Republican,http://www.amadorforcongress.net/
172,H8CA09144,"LIVENGOOD, MARLA",REP,CA,9,House,California,Republican,http://marlalivengood.com/
173,H0CA10289,"BLEVINS, RYAN",DEM,CA,10,House,California,Democrat,https://www.blevinsforcongress.com/
174,H2CA00096,"BARKLEY, MICHAEL JAMES MR.",DEM,CA,10,House,California,Democrat,http://www.mjbarkl.com/run.htm
175,H4CA10075,"EGGMAN, MICHAEL RAY",DEM,CA,10,House,California,Democrat,http://www.eggmanforcongress.com/splash
176,H8CA10126,"HARDER, JOSH",DEM,CA,10,House,California,Democrat,https://www.harderforcongress.com/
177,H8CA10175,"MADUENO, VIRGINIA",DEM,CA,10,House,California,Democrat,https://www.virginiaforcongress.com/
178,H0CA10248,"DOSSETT, CHARLES",REP,CA,10,House,California,Republican,https://pdossett3.wixsite.com/mysite
179,H0CA10263,"SOUSA LIVENGOOD, MARLA",REP,CA,10,House,California,Republican,http://marlalivengood.com/
180,H0CA10271,"ELLIOTT, BOB",REP,CA,10,House,California,Republican,https://bobelliottforcongress.com/
181,H0CA19173,"DENHAM, JEFF",REP,CA,10,House,California,Republican,https://denhamforcongress.com
182,H8CA10209,"HOWZE, TED D II",REP,CA,10,House,California,Republican,https://tedhowze.com/
183,H0CA10073,"DESAULNIER, MARK",DEM,CA,11,House,California,Democrat,http://desaulnierforcongress.com/
186,H0CA15262,"SHARMA, NISHA",REP,CA,11,House,California,Republican,https://www.nishaforcongress.com/
187,H0CA12111,"BACELAR, AGATHA",DEM,CA,12,House,California,Democrat,https://www.agathaforcongress.com/
188,H0CA12129,"GALLAGHER, TOM",DEM,CA,12,House,California,Democrat,https://tomgallaghercongress2020.com/
189,H8CA05035,"PELOSI, NANCY",DEM,CA,12,House,California,Democrat,https://www.pelosiforcongress.org/
190,H8CA12239,"JAFFE, STEPHEN R",DEM,CA,12,House,California,Democrat,https://jaffe4congress.com/
191,H8CA12262,"BUTTAR, SHAHID",DEM,CA,12,House,California,Democrat,https://shahidforchange.us/
194,H8CA09060,"LEE, BARBARA",DEM,CA,13,House,California,Democrat,https://barbaraleeforcongress.org/
195,H0CA13127,"PITERMAN, KONSTANTINE NIKKA-SHER",REP,CA,13,House,California,Republican,https://nikka2020.com
196,H0CA14117,"GOODROW, CRISTOS JON",DEM,CA,14,House,California,Democrat,https://www.cristosforcongress.com/
197,H8CA12171,"SPEIER, JACKIE",DEM,CA,14,House,California,Democrat,http://www.jackiespeier.org/
199,H0CA15171,"SIMITIAN, S JOSEPH",DEM,CA,15,House,California,Democrat,http://www.joesimitian.com/
200,H0CA15213,"WAHAB, AISHA",DEM,CA,15,House,California,Democrat,https://aishawahab.com/?fbclid=IwAR0T28dUlmfeug706DV6HRKq3l7Nd7xj98zoMd9dKMgDwL3wp8-uVSKtu6U
201,H0CA15221,"WIECKOWSKI, ROBERT",DEM,CA,15,House,California,Democrat,http://bobwieckowski.com/
203,H2CA15094,"SWALWELL, ERIC MICHAEL",DEM,CA,15,House,California,Democrat,https://ericswalwell.com/
204,H0CA16112,"WILLIAMS, KIM",DEM,CA,16,House,California,Democrat,https://kimwilliamsforcongress.com/en/
205,H0CA16138,"SORIA, ESMERALDA",DEM,CA,16,House,California,Democrat,https://soriaforcongress.com/
206,H0CA16120,"COOKINGHAM, KEVIN",REP,CA,16,House,California,Republican,http://www.cookinghamforcongress.com/
207,H2CA16100,"TACHERRA, JOHNNY",REP,CA,16,House,California,Republican,http://www.tacherraforcongress.com/
208,H8CA16065,"HENG, ELIZABETH",UNK,CA,16,House,California,Other,https://elizabethheng.com/home/
210,H4CA12055,"KHANNA, ROHIT",DEM,CA,17,House,California,Democrat,https://www.rokhanna.com/
211,H0CA17193,"TANDON, RITESH",REP,CA,17,House,California,Republican,http://tandonforcongress.com/
212,H0CA18068,"KUMAR, RISHI",DEM,CA,18,House,California,Democrat,https://rishikumar.com/
213,H8CA12098,"ESHOO, ANNA G",DEM,CA,18,House,California,Democrat,http://www.annaeshoo4congress.com/
215,H0CA19207,"TORRES, IVAN",DEM,CA,19,House,California,Democrat,https://ivantorres2020.com/
216,H4CA16049,"LOFGREN, ZOE",DEM,CA,19,House,California,Democrat,https://zoelofgren.com/
218,H8CA19051,"AGUILERA, JUSTIN",REP,CA,19,House,California,Republican,https://www.justinaguilera.com/
219,H0CA20130,"BOLA?OS SCOW, ADAM",DEM,CA,20,House,California,Democrat,https://adamscow.org/
220,H4CA20082,"COSTA, JIM MR.",DEM,CA,20,House,California,Democrat,https://www.jimcosta.com/
221,H6CA20152,"PANETTA, JIMMY",DEM,CA,20,House,California,Democrat,https://www.jimmypanetta.com/
223,H0CA20122,"GORMAN, JEFF",REP,CA,20,House,California,Republican,https://jeffforcongress.com/
224,H6CA21218,"HUERTA, EMILIO J. MR.",DEM,CA,21,House,California,Democrat,http://www.huertaforcongress.com/
225,H8CA10167,"COX, TERRANCE JOHN (TJ)",DEM,CA,21,House,California,Democrat,https://tjcoxforcongress.com/
226,H2CA20094,"VALADAO, DAVID",REP,CA,21,House,California,Republican,http://www.valadaoforcongress.com/
228,H0CA22102,"ARBALLO, PHIL",DEM,CA,22,House,California,Democrat,https://www.philarballo.com/?fbclid=IwAR1LGiNxKwfLTGWhLOFP3YYTNzM4ypgi63fxJxlE94YbcCGsO84z9EyDqL8
229,H2CA22140,"LEE, OTTO",DEM,CA,22,House,California,Democrat,https://www.ottolee.org/
230,H8CA22139,"JANZ, ANDREW",DEM,CA,22,House,California,Democrat,https://www.andrewjanzforcongress.com
231,H8CA22147,"FRANCO, RICARDO JOSE",DEM,CA,22,House,California,Democrat,https://ricofranco.com
232,H8CA22154,"BLIATOUT, BOBBY",DEM,CA,22,House,California,Democrat,https://bobbybliatout.com/
233,H8CA20059,"NUNES, DEVIN G.",REP,CA,22,House,California,Republican,http://www.devinnunes.com/
234,H0CA22110,"GARCIA, ERIC",NPA,CA,22,House,California,Other,https://www.ericgarciaforcongress.com/
237,H8CA23111,"WILSON, KURTIS",DEM,CA,23,House,California,Democrat,http://www.kurtforcongress2018.com/
239,H6CA22125,"MCCARTHY, KEVIN",REP,CA,23,House,California,Republican,https://www.mccarthyforcongress.com/
240,H6CA24303,"CARBAJAL, SALUD O.",DEM,CA,24,House,California,Democrat,https://www.saludcarbajal.com/
241,H0CA24157,"CALDWELL, JAMES ANDREW",REP,CA,24,House,California,Republican,https://www.andycaldwell2020.com/
242,H4CA24142,"FAREED, JUSTIN",REP,CA,24,House,California,Republican,https://www.justinfareed.com/
246,H0CA25154,"SMITH, CHRISTY",DEM,CA,25,House,California,Democrat,https://www.christyforcongress.org/
247,H0CA25170,"UYGUR, CENK",DEM,CA,25,House,California,Democrat,https://www.cenk2020.com/
248,H0CA25212,"VALDEZ-ORTEGA, ANIBAL MR.",DEM,CA,25,House,California,Democrat,https://valdezortegaforcongress.org/
249,H0CA25238,"COOPER, ROBERT",DEM,CA,25,House,California,Democrat,https://www.robertcooper4congress.com/
250,H6CA25177,"CAFORIO, BRYAN",DEM,CA,25,House,California,Democrat,https://bryancaforio.com
251,H8CA25082,"PHOENIX, JESS",DEM,CA,25,House,California,Democrat,https://www.jess2018.com/
252,H8CA25124,"MASTERMAN-SMITH, MIKE",DEM,CA,25,House,California,Democrat,http://www.masterman2018.com/
253,H0CA25097,"VALLADARES, SUZETTE MARTINEZ",REP,CA,25,House,California,Republican,https://suzettevalladares.com/
255,H0CA25113,"UNDERWOOD JACOBS, ANGELA",REP,CA,25,House,California,Republican,https://www.angelaforyou.com/
256,H0CA25121,"CRIPE, MARK",REP,CA,25,House,California,Republican,https://www.markcripe.com/?fbclid=IwAR1mx8cxvJIDxMdIlLFOOTAXdMEqZIk4G9-Ib-gHSh2P96p1PA6AlbLcwdM
257,H0CA25147,"PAPADOPOULOS, GEORGE",REP,CA,25,House,California,Republican,https://www.georgeforcongress.com/
258,H0CA25204,"LACKEY, COURTNEY",REP,CA,25,House,California,Republican,https://courtneylackeyforcongress.net/
259,H0CA25220,"LOZANO, DAVID",REP,CA,25,House,California,Republican,https://lozanoforcongress.com/
262,H4CA25123,"KNIGHT, STEVE",REP,CA,25,House,California,Republican,http://steveknight.org/
264,H2CA00120,"BROWNLEY, JULIA",DEM,CA,26,House,California,Democrat,https://juliabrownley.com
265,H0CA26145,"KENNEDY, RONDA",REP,CA,26,House,California,Republican,https://rondakennedy.com/
267,H8CA26122,"BURUM, JEFFREY DAVID MAJ (RET)",REP,CA,26,House,California,Republican,http://burum4supervisor.com/
268,H0CA32101,"CHU, JUDY",DEM,CA,27,House,California,Democrat,https://www.judychu.org/index.php
269,H8CA27112,"WITT, BRYAN",DEM,CA,27,House,California,Democrat,https://secure.actblue.com/donate/bryan-witt-congressional-exploratory-committee-1
270,H0CA27127,"NALBANDIAN, JOHNNY",REP,CA,27,House,California,Republican,https://www.votejohnny.us/
271,H0CA27085,"SCHIFF, ADAM",DEM,CA,28,House,California,Democrat,https://adamschiff.com/
272,H0CA28174,"PUDLO, G MAEBE A. GIRL",DEM,CA,28,House,California,Democrat,https://maebeagirlforcongress.org/
273,H0CA28182,"EARLY, ERIC",REP,CA,28,House,California,Republican,https://ericearly.com/
274,H8CA28185,"NALBANDIAN, JOHNNY",REP,CA,28,House,California,Republican,https://www.votejohnny.us/
275,H0CA28141,"BARBOSA, JENNIFER",IND,CA,28,House,California,Independent,https://barbosaforcongress.com/
276,H4CA28077,"STOKES, STEVE",IND,CA,28,House,California,Independent,http://www.stokes4senate.com/
277,H0CA00082,"PORTANTINO, ANTHONY",DEM,CA,29,House,California,Democrat,https://www.anthonyportantino.com/
278,H2CA28113,"CARDENAS, TONY",DEM,CA,29,House,California,Democrat,http://www.tonycardenasforcongress.com
279,H8CA29100,"DUENAS, ANGELICA MARIA",DEM,CA,29,House,California,Democrat,https://www.angelica4congress.com/
280,H2CA28097,"HERNANDEZ, DAVID RAYMOND",REP,CA,29,House,California,Republican,https://www.gersonfortexas.com/
281,H0CA30170,"KAHN, PAULA",DEM,CA,30,House,California,Democrat,https://www.paulakahn2020.com/
282,H4CA30123,"RAB, AEJAZ (RAJI)",DEM,CA,30,House,California,Democrat,http://www.rabforcongress.com/
283,H6CA24113,"SHERMAN, BRAD",DEM,CA,30,House,California,Democrat,http://bradsherman.com/
284,H4CA30081,"KLEINMAN, PABLO",REP,CA,30,House,California,Republican,http://www.voteforpablo.com/
285,H0CA30154,"COLLIN, SUSAN",IND,CA,30,House,California,Independent,https://www.susancollins.com/
286,H2CA31125,"AGUILAR, PETE",DEM,CA,31,House,California,Democrat,https://peteaguilar.com/
287,H4CA31055,"REYES, ELOISE GOMEZ",DEM,CA,31,House,California,Democrat,http://www.reyesforassembly.com/
290,H4CA31071,"CHABOT, PAUL R DR.",REP,CA,31,House,California,Republican,http://www.paulchabot.com/
291,H6CA31134,"FLYNN, SEAN",REP,CA,31,House,California,Republican,https://seanflynnforcongress.com
295,H0CA32341,"KASHIFALGHITA, MESHAL 'KASH'",DEM,CA,32,House,California,Democrat,https://kashforcongress.com/
296,H6CA32132,"HERNANDEZ, ROGER",DEM,CA,32,House,California,Democrat,http://hernandezforcongress.com/
299,H8CA34068,"NAPOLITANO, GRACE",DEM,CA,32,House,California,Democrat,https://www.napolitanoforcongress.com/
300,H8CA32088,"SCOTT, JOSHUA",REP,CA,32,House,California,Republican,https://votejoshuascott.org/
301,H4CA33119,"LIEU, TED",DEM,CA,33,House,California,Democrat,http://www.tedlieu.com/
302,H4CA33168,"MILLER, MATTHEW LOUIS",DEM,CA,33,House,California,Democrat,https://www.mattmillerfornewyork.com/
304,H8CA33268,"RODGERS, EMORY",DEM,CA,33,House,California,Democrat,https://voteforemory.com/
305,H0CA33216,"LIEW, SARAH SUN",REP,CA,33,House,California,Republican,https://www.drsarahliewforcongress.com/
306,H0CA48156,"BRADLEY, JAMES",REP,CA,33,House,California,Republican,https://bradleysenate.com/
307,H4CA33135,"CARR, ELAN S.",REP,CA,33,House,California,Republican,http://www.elancarrforcongress.com/
309,H0CA33208,"FRICKE, BRANDON",NPA,CA,33,House,California,Other,https://www.brandonfricke.com/
310,H0CA34115,"MOTIWALLA, FRANCES YASMEEN",DEM,CA,34,House,California,Democrat,https://fym2020.com/
311,H0CA34131,"KIM, DAVID",DEM,CA,34,House,California,Democrat,http://www.davidkim2020.com/
