extra_id,text,name,class_simple,topics
3013, reform broken immigration system and provide resources to seniors,AGUILAR PETE,9,immigration
2920,building stronger middle class,AGUILAR PETE,12,infra_transpo
2914,if youve saved payment information with actblue express,AGUILAR PETE,1,occupation
2986,annual inland empire jobs fairs helped over one hundred people find jobs and as regions economy continues to recover from great recession,AGUILAR PETE,1,occupation
3007,worked two jobs through college and proudly graduated with help of pell grants,AGUILAR PETE,1,occupation
3012, create goodpaying jobs in communities like inland empire,AGUILAR PETE,1,occupation
3020, schools and frontline workers during covid pandemic to investing in affordable housing,AGUILAR PETE,13,public_health
2991,national security public safety,AGUILAR PETE,6,security_policy
3016,wants to modernize national security,AGUILAR PETE,6,security_policy
2936, improve quality of care women veterans receive at va,AGUILAR PETE,0,social_policy
2938,womens reproductive rights under constant attack and still long way away from realizing full pay equity for women,AGUILAR PETE,0,social_policy
2943,need to support brave men and women defend country return home,AGUILAR PETE,0,social_policy
2950, would force seniors to shop for health insurance on private market and pay thousands more in outofpocket expenses for same level of coverage,AGUILAR PETE,0,social_policy
2996,standing up for equality and womens health care issues,AGUILAR PETE,0,social_policy
31917,support second amendment rights,AGUILERA JUSTIN,7,domestic_policy
31879, most expensive housing market in country,AGUILERA JUSTIN,2,economy 
31901,attended valley christian high school and then california state university monterey bay,AGUILERA JUSTIN,4,education
31920,vote justin aguilera on november rd,AGUILERA JUSTIN,3,election 
31912,must implement laws and protect borders,AGUILERA JUSTIN,9,immigration
31913,support legal immigration,AGUILERA JUSTIN,9,immigration
31900,grandparents dairy farmers,AGUILERA JUSTIN,1,occupation
31914,believe in small government and lower taxes,AGUILERA JUSTIN,1,occupation
31915,salute and stand for strong military,AGUILERA JUSTIN,6,security_policy
31919,time to hold toxic disaster of washington dc and california accountable,AGUILERA JUSTIN,6,security_policy
15804,but gomezs support from outside spending groups far surpassed ahns,AHN ROBERT LEE,2,economy 
15806, gomez benefited from about in spending by several super pacs,AHN ROBERT LEE,2,economy 
15807, most of come from latino victory fund,AHN ROBERT LEE,2,economy 
15808,only one such group spent money to support ahn in time period citizens for better government,AHN ROBERT LEE,2,economy 
15860,and while one edge comes to funds raised,AHN ROBERT LEE,2,economy 
15861, clear winner among outside spending groups,AHN ROBERT LEE,2,economy 
15879, spending about to send out to voters,AHN ROBERT LEE,2,economy 
15895, while ahn received all of funds from individuals,AHN ROBERT LEE,2,economy 
15908,as of june gomez reported spending about on mailers,AHN ROBERT LEE,2,economy 
15923, privately held independent real estate investment and development company,AHN ROBERT LEE,2,economy 
15782,upon graduation from harvardwestlake school,AHN ROBERT LEE,4,education
15785, robert tutored atrisk high school children in math and english,AHN ROBERT LEE,4,education
15850,roberts education greatly enhanced by many programs offered at local parks,AHN ROBERT LEE,4,education
15958, college education must affordable,AHN ROBERT LEE,4,education
15959,robert attended local public schools in los angeles unified school district until accepted into prestigious harvard school for boys,AHN ROBERT LEE,4,education
15960, elite private college preparatory school located in san fernando valley,AHN ROBERT LEE,4,education
15746,ahn for congress hour koreatown voter registration marathon,AHN ROBERT LEE,3,election 
15747, one dem clear favorite of pacs and outside groups,AHN ROBERT LEE,3,election 
15757,robert solid track record of strong advocate for community,AHN ROBERT LEE,3,election 
15771,if people stay home and dont vote,AHN ROBERT LEE,3,election 
15793,gomez and ahn competed in runoff election on june,AHN ROBERT LEE,3,election 
15798, ahn accused in elections only debate of corporate democrat attack gomez parried with reminder hes backed by bernie sanders revolution,AHN ROBERT LEE,3,election 
15799,robert candidate in special election to replace retiring congressman xavier becerra in united states house of representatives,AHN ROBERT LEE,3,election 
15869, gave campaign in february before primary,AHN ROBERT LEE,3,election 
15878,ahn also used potholders as campaign advertisements,AHN ROBERT LEE,3,election 
15880,much of super pac activity centered on mail,AHN ROBERT LEE,3,election 
15909, since start of campaign,AHN ROBERT LEE,3,election 
15964, robert lee ahn for congress campaign registering voters to participate in april th election,AHN ROBERT LEE,3,election 
15968,vital everyone registered and everyone casts vote,AHN ROBERT LEE,3,election 
15969, explained campaign manager david meraz,AHN ROBERT LEE,3,election 
15971,dont want to any excuses to not register and vote,AHN ROBERT LEE,3,election 
15903,robert lee ahn understands climate change urgent threat to economy and childrens future,AHN ROBERT LEE,10,environment
15904,robert defend pledge made at paris climate conference to reduce greenhouse gas emissions and put united states on path to reduce american oil consumption,AHN ROBERT LEE,10,environment
15754, would only korean american to hold seat in united states congress,AHN ROBERT LEE,8,foreign_policy
15856, north koreas kim jong un tries to disguise reason for intention to build nuclear missile program by claiming united states and south korea planning to invade country,AHN ROBERT LEE,8,foreign_policy
15966, host event in hopes of registering many of unregistered koreans in th congressional district,AHN ROBERT LEE,8,foreign_policy
15967,may communitys only opportunity to voice in united states house of representatives,AHN ROBERT LEE,8,foreign_policy
15777,must improve quality of healthcare and create and fund programs provide opportunities and tools veterans deserve,AHN ROBERT LEE,5,healthcare
15937,because mother worked in same building roberts office located,AHN ROBERT LEE,12,infra_transpo
15839,and los angeles labor unions,AHN ROBERT LEE,1,occupation
15848, worked long hours at numerous jobs and,AHN ROBERT LEE,1,occupation
15881, as well as phone banks and in cases online ads,AHN ROBERT LEE,1,occupation
15893, including many associated with labor unions,AHN ROBERT LEE,1,occupation
15912, newspaper ads and phone banks,AHN ROBERT LEE,1,occupation
15935,throughout course of business career,AHN ROBERT LEE,1,occupation
15842,essential to national security fix visa backlog,AHN ROBERT LEE,6,security_policy
15976,race eventually whittled down to two democrats jimmy gomez and robert lee ahn,AHN ROBERT LEE,0,social_policy
36376,growing economy only way to create jobs,ALLEN RICHARD W,2,economy 
36377,rick allen fighting hard everyday for economy georgia families deserve,ALLEN RICHARD W,2,economy 
36547,need to build on foundation of nations economy by loosening washingtons grip and letting free market job,ALLEN RICHARD W,2,economy 
36443,southeastern tech school,ALLEN RICHARD W,4,education
36558,after graduated from auburn universitys school of architecture and fine arts with bachelor of science degree in building construction,ALLEN RICHARD W,4,education
36375,critical election updates,ALLEN RICHARD W,3,election 
36379,commit to vote for rick allen for congress november,ALLEN RICHARD W,3,election 
36384,know every vote makes difference and democrats not go down without fight,ALLEN RICHARD W,3,election 
36395,elections and registration office,ALLEN RICHARD W,3,election 
36397,commit to voting in november rds general election to make sure keep georgia red,ALLEN RICHARD W,3,election 
36399,stay uptodate on all of critical election updates,ALLEN RICHARD W,3,election 
36400, voting alerts and rapid response messages setting record straight fake news and democrats attacks,ALLEN RICHARD W,3,election 
36401,effingham county board of elections and registration,ALLEN RICHARD W,3,election 
36404,whoever wins election define direction take country next four years,ALLEN RICHARD W,3,election 
36413,election day fast approaching,ALLEN RICHARD W,3,election 
36416, find early and election day voting locations or commit to vote on november rd,ALLEN RICHARD W,3,election 
36417,tattnall county election office,ALLEN RICHARD W,3,election 
36423,columbia county board of elections,ALLEN RICHARD W,3,election 
36424,toombs county advance voting location,ALLEN RICHARD W,3,election 
36435,early voting begins all across georgia on monday,ALLEN RICHARD W,3,election 
36438,board of elections and registrar,ALLEN RICHARD W,3,election 
36444,plan to vote in november,ALLEN RICHARD W,3,election 
36445,vote by absentee ballot vote inperson early vote inperson on election day not vote,ALLEN RICHARD W,3,election 
36448,voter registration up to date at current address,ALLEN RICHARD W,3,election 
36503,questions or comments for rick allen campaign,ALLEN RICHARD W,3,election 
36508,questions or comments for rick allen campaign team,ALLEN RICHARD W,3,election 
36523,appling county board of elections and registrar tippins street,ALLEN RICHARD W,3,election 
36555, proud to announce campaign to replace john barrow with conservative family man and small business leader,ALLEN RICHARD W,3,election 
36648,november election day,ALLEN RICHARD W,3,election 
36499, foreign national without green card,ALLEN RICHARD W,9,immigration
36419,warren road recreation center,ALLEN RICHARD W,12,infra_transpo
36542,ive spent last years building construction company from ground up in augusta,ALLEN RICHARD W,12,infra_transpo
36559, construction corporation with offices in augusta and athens,ALLEN RICHARD W,12,infra_transpo
36474, payment information eg,ALLEN RICHARD W,1,occupation
36557,know firsthand about creating jobs in spite of obstacles put in place by federal government,ALLEN RICHARD W,1,occupation
36386,recent poll shows tight race between president donald trump and joe biden,ALLEN RICHARD W,0,social_policy
62164,posting information on campaign in area,AMATA AUMUA,3,election 
62199,of vote in reelection,AMATA AUMUA,3,election 
62200, attained highest number of votes for any elective office in american samoa history,AMATA AUMUA,3,election 
62192,in received international leadership foundations visionary award and in presented inspirational speaker award at ninth annual samoan athletes heart of champions ceremony in la mesa,AMATA AUMUA,8,foreign_policy
62210, and morocco for international republican institute and international foundation for electoral systems,AMATA AUMUA,8,foreign_policy
62213,international work included participation in several pacific regional conferences,AMATA AUMUA,8,foreign_policy
62201,life member of capitol hill club and founding member of american samoa society,AMATA AUMUA,6,security_policy
62239, including at numerous military bases in conus and europe,AMATA AUMUA,6,security_policy
62179, amata served as spokesperson for samoan womens health project to promote cancer awareness and bring mammography to territory and liaison to national breast cancer coalition since,AMATA AUMUA,0,social_policy
62195,first woman elected to us house of representatives from american samoa,AMATA AUMUA,0,social_policy
62196,first republican woman of samoan descent in congress,AMATA AUMUA,0,social_policy
62206,also one of women profiled in women of american samoa hundred years if development and achievements,AMATA AUMUA,0,social_policy
62212, congolese and uyghur women leaders,AMATA AUMUA,0,social_policy
62233, first woman ever to serve as rnc chairman,AMATA AUMUA,0,social_policy
2175, ensuring commercial and federal stocks of personal protective equipment ppe distributed through regional emergency regions to local municipalities,ANDERSON JUSTIN,2,economy 
2182,years teaching at officer candidate school years as instructor,ANDERSON JUSTIN,4,education
2199,years teaching at officer candidate school,ANDERSON JUSTIN,4,education
2072,justin doesnt just talk about foreign policy,ANDERSON JUSTIN,8,foreign_policy
2197,combat tours in afghanistan earned combat infantry badge after conducting air assault operations to clear taliban villages,ANDERSON JUSTIN,8,foreign_policy
2177, nuclear or highexplosive attacks throughout new england region,ANDERSON JUSTIN,5,healthcare
2220,as facilities hostage rescue team member and transportation team member for high risk inmates,ANDERSON JUSTIN,12,infra_transpo
2174,military liaison officer to division of emergency management and homeland security region office,ANDERSON JUSTIN,6,security_policy
2210,military liaison officer to division of emergency management and homeland security,ANDERSON JUSTIN,6,security_policy
22844,darren aquino founder and ceo of advocates for disabled americans,AQUINO DARREN DIONE MR,3,election 
22835,darren developed national nonprofit in with unique concept all members and volunteers disabled,AQUINO DARREN DIONE MR,8,foreign_policy
22836,comprehensive network of members and volunteers assist disabled community with any and all issues related to lack of societal integration,AQUINO DARREN DIONE MR,12,infra_transpo
22860,then bring issues to washington dc with intent to get fixed,AQUINO DARREN DIONE MR,6,security_policy
22838,honorable men and women,AQUINO DARREN DIONE MR,0,social_policy
22852, honorable men and women defended country with honor and courage,AQUINO DARREN DIONE MR,0,social_policy
918, no data transmission over internet guaranteed as secure,ARENHOLZ ASHLEY HINSON,7,domestic_policy
983,cookies used to collect standard internet log information and visitor behavior information in anonymous form,ARENHOLZ ASHLEY HINSON,7,domestic_policy
1084,social media platforms and web sites any information,ARENHOLZ ASHLEY HINSON,7,domestic_policy
661,email address removed from marketing list,ARENHOLZ ASHLEY HINSON,2,economy 
796,contribution made from own funds with personal credit card,ARENHOLZ ASHLEY HINSON,2,economy 
797, and not with corporate credit card or funds provided to by another person,ARENHOLZ ASHLEY HINSON,2,economy 
801,funds received in response to solicitation subject to federal contribution limits,ARENHOLZ ASHLEY HINSON,2,economy 
809, trademark andor trade dress of ashley hinson for congress and may not copied,ARENHOLZ ASHLEY HINSON,2,economy 
1124, marketing and internal purposes,ARENHOLZ ASHLEY HINSON,2,economy 
1705, improved schools and helped grow economy,ARENHOLZ ASHLEY HINSON,2,economy 
633,stay up to date with ashleys campaign,ARENHOLZ ASHLEY HINSON,3,election 
636,quick donate contribute,ARENHOLZ ASHLEY HINSON,3,election 
749, fraud and crime preventiondetection,ARENHOLZ ASHLEY HINSON,3,election 
1037, from and against any claims,ARENHOLZ ASHLEY HINSON,3,election 
1044, demand or claim made against ashley hinson for congress andor independent contractors,ARENHOLZ ASHLEY HINSON,3,election 
1701,stay uptodate with latest news from campaign trail,ARENHOLZ ASHLEY HINSON,3,election 
1085, or material of any type or nature submit to site including,ARENHOLZ ASHLEY HINSON,10,environment
1153, national or international law,ARENHOLZ ASHLEY HINSON,8,foreign_policy
704,such license subject to terms of service and not include any resale or commercial use of sites or site materials therein,ARENHOLZ ASHLEY HINSON,5,healthcare
961, and waive any right may to receive specific notice of such changes or modifications,ARENHOLZ ASHLEY HINSON,5,healthcare
1016,may elect not to allow us to collect and use nonpersonally identifiable data as part of service by following opt out procedures described below,ARENHOLZ ASHLEY HINSON,5,healthcare
1123,site may use cookies and technology to speed navigation and keep track of items and to gather anonymous traffic data may use to enhance site,ARENHOLZ ASHLEY HINSON,5,healthcare
735, ad networks or exchanges to enable to analyze user behaviors or to customize ads encounter,ARENHOLZ ASHLEY HINSON,12,infra_transpo
899, may collect payment information such as credit card number needed to complete requested service or transaction,ARENHOLZ ASHLEY HINSON,1,occupation
1002, etc although may take certain precautions to protect use areas of one of web sites,ARENHOLZ ASHLEY HINSON,13,public_health
911,except as noted above,ARENHOLZ ASHLEY HINSON,6,security_policy
880, or adoption by ashley hinson for congress of any site or any information contained therein,ARENHOLZ ASHLEY HINSON,0,social_policy
4497,state of connecticut spending problem,ARORA HARRY,2,economy 
4498,bloated bureaucracy and spending inefficient and wasteful,ARORA HARRY,2,economy 
4503,instead of cutting wasteful spending,ARORA HARRY,2,economy 
4522,connecticut economy needs business supportive environment,ARORA HARRY,2,economy 
4526, businesses leaving connecticut,ARORA HARRY,2,economy 
4597, mba in finance from university of texas at austin,ARORA HARRY,2,economy 
4461, travel update high school football,ARORA HARRY,4,education
4489,school district one of best in state and in country,ARORA HARRY,4,education
4494,ensured keep local control of schools,ARORA HARRY,4,education
4495, senate democrats argued for keeping schools closed fall,ARORA HARRY,4,education
4496,need to ensure safe reopening of schools rather than give in to union interests in hartford,ARORA HARRY,4,education
4510,high school graduation rate gaps between black students and white students over points wide,ARORA HARRY,4,education
4511,need to address problem of failing schools around state by handing over to kipps,ARORA HARRY,4,education
4514,high school no longer sufficient for success in todays economy so also need to invest in better vocational training and two year degree options,ARORA HARRY,4,education
4599,education ingrained in harry focus on rigorous and thoughtful analysis of policy and legislation,ARORA HARRY,4,education
4605,vocal advocate for efficiency in state programs and state agencies,ARORA HARRY,3,election 
4474,need to real plan control emissions and preserve forests and oceans for future generations,ARORA HARRY,10,environment
4467,energy infrastructure,ARORA HARRY,12,infra_transpo
4480,need modern transportation system for st century,ARORA HARRY,12,infra_transpo
4486,local transit system also ineffective,ARORA HARRY,12,infra_transpo
4488,need to invest smartly in transportation system understanding in era of ridesharing and work mobility,ARORA HARRY,12,infra_transpo
4468,fiscal discipline low taxes,ARORA HARRY,1,occupation
4490,school funded by local property taxes and get no state funding,ARORA HARRY,1,occupation
4499,no secret state employee benefits and pension systems need to reformed,ARORA HARRY,1,occupation
4501, new payroll taxes imposed,ARORA HARRY,1,occupation
4502, sales taxes on essential items increased,ARORA HARRY,1,occupation
4507,new state payroll tax instituted in as small oneoff tax seen play out,ARORA HARRY,1,occupation
4516,pay double in residential electricity costs than in texas or florida,ARORA HARRY,1,occupation
20714,working families make up backbone of economy,AVERHART JAMES,2,economy 
20624,education press release,AVERHART JAMES,4,education
20625,reopening of schools in midst of pandemic students and teachers not expendable,AVERHART JAMES,4,education
20626,push to get students back in school,AVERHART JAMES,4,education
20629, students and teachers using alternate methods,AVERHART JAMES,4,education
20632, superintendent of mobile county public school system took wellbeing of students,AVERHART JAMES,4,education
20643, al students and teachers putting families and loved ones at risk by returning back to classroom despite surging cases of covid,AVERHART JAMES,4,education
20644,many school districts across state returning back to traditional classroom for school year,AVERHART JAMES,4,education
20645,faculty and staff of schools undergone training and prepared school for consider safe return,AVERHART JAMES,4,education
20649,means health of many students and teachers,AVERHART JAMES,4,education
20651,on august baldwin county returned back to school,AVERHART JAMES,4,education
20652, and spanish fort high school nine students diagnosed or suspected of contracting virus,AVERHART JAMES,4,education
20654,just last week saraland high school five reported cases after first day,AVERHART JAMES,4,education
20657, students and teachers may go home to people considered high risk if contract virus,AVERHART JAMES,4,education
20659,to right to protect students and teachers,AVERHART JAMES,4,education
20703,quality education surest chance to escape poverty and strengthen communities,AVERHART JAMES,4,education
20892,james graduate of us army airborne school,AVERHART JAMES,4,education
20896,james furthered education by earning doctorate degree in theology and biblical studies from north carolina college of theology and seminary,AVERHART JAMES,4,education
20701,paid for by campaign to elect james averhart,AVERHART JAMES,3,election 
20734,send texts for campaign,AVERHART JAMES,3,election 
20737,campaign powered by contributions from supporters like,AVERHART JAMES,3,election 
20789, not career politician,AVERHART JAMES,3,election 
20799,with continued support and vote,AVERHART JAMES,3,election 
20916,staunch advocate for equal and civil rights and looks forward to continuing lifes work as public servant to community,AVERHART JAMES,3,election 
21008, please contact campaign office at or by email at infojamesaverhartcom,AVERHART JAMES,3,election 
21042,collective political action committee endorses james averhart,AVERHART JAMES,3,election 
21043,collective political action committee endorsed james averhart for us house of representatives,AVERHART JAMES,3,election 
20884, operations enduring freedom oef afghanistan and operation iraqi freedom oif iraq,AVERHART JAMES,8,foreign_policy
20687, to ensure quality affordable health care for all,AVERHART JAMES,5,healthcare
20725,demand universal healthcare endorse james averhart,AVERHART JAMES,5,healthcare
20726,demand universal healthcare endorsed james averhart for us house of representatives,AVERHART JAMES,5,healthcare
20695,critical building block in countrys foundation,AVERHART JAMES,12,infra_transpo
20731,building grassroots movement to fight for big,AVERHART JAMES,12,infra_transpo
20692, understands us labor force pillar of nations strength,AVERHART JAMES,1,occupation
20713, and supporting equal pay for equal work,AVERHART JAMES,1,occupation
20717,understand us labor force pillar of nations strength,AVERHART JAMES,1,occupation
20870,united mine workers of america endorses james averhart for alabamas st congressional district,AVERHART JAMES,1,occupation
20639,according to alabama department of public health,AVERHART JAMES,13,public_health
20648, threat of covid still looms on buses,AVERHART JAMES,13,public_health
20656, proves easily covid spread due to students and teachers in enclosed spaces,AVERHART JAMES,13,public_health
20660,veterans military families caucus of democrats abroad endorse james averhart,AVERHART JAMES,6,security_policy
20666,military and veterans,AVERHART JAMES,6,security_policy
20699, understands issues surrounding military personnel,AVERHART JAMES,6,security_policy
20747, retired military leaders,AVERHART JAMES,6,security_policy
20898,james personal military decorations include legion of merit,AVERHART JAMES,6,security_policy
20915,retired from active military duty from marine corps on october after plus years of honorable and faithful service to united states of america,AVERHART JAMES,6,security_policy
20661,alabama democratic women endorse james averhart,AVERHART JAMES,0,social_policy
20662,alabana democratic women endorsed james averhart for us house of representatives,AVERHART JAMES,0,social_policy
20700,averhart proudly supports men and women of united states armed forces sacrifice to keep nation safe and secure,AVERHART JAMES,0,social_policy
34210,ban term limits than set by us constitution,BARKLEY MICHAEL JAMES MR,7,domestic_policy
34383, state local contracts,BARKLEY MICHAEL JAMES MR,7,domestic_policy
34500, or local government laid off any employee,BARKLEY MICHAEL JAMES MR,7,domestic_policy
34698, or local incarceration,BARKLEY MICHAEL JAMES MR,7,domestic_policy
34959,guns see constitutional below blacklivesmatter repeal gun manufacturer lawsuit shield act protection of lawful commerce in arms act plcaa remove litigation protection enjoyed by gun industry,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35195,support net neutrality,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35715, second amendment dangerous anachronism,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35744,repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35745,citizens for repeal of second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35762,official petition to repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35763,repeal second amendment active,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35784, including repeal of second amendment offered in nd congress,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35789, no recent posters abolish second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35792, no recent posters repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35798, no recent posters repeal second amendment now,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35800, no activity repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35802, shows promise repeal second amendment active,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35808, repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35819,lets repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35837, second amendment fell silent constitutional conflicts paperback,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35848, also explains convention repeal second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35851,repeal second amendment now,BARKLEY MICHAEL JAMES MR,7,domestic_policy
35869,abolish second amendment,BARKLEY MICHAEL JAMES MR,7,domestic_policy
34096,infrastructure fund serious infrastructure maintenance and upgrades highways bridges,BARKLEY MICHAEL JAMES MR,2,economy 
34119,require and fund restoration of wood and metal shop classes and life skills class components such as personal budgeting at all high schools,BARKLEY MICHAEL JAMES MR,2,economy 
34178, especially oppose fast track aka trade promotion authority,BARKLEY MICHAEL JAMES MR,2,economy 
34179,fund chicago belt create projects,BARKLEY MICHAEL JAMES MR,2,economy 
34224,environmental defense fund,BARKLEY MICHAEL JAMES MR,2,economy 
34266,increase americorps funding,BARKLEY MICHAEL JAMES MR,2,economy 
34275, including below cost marketing,BARKLEY MICHAEL JAMES MR,2,economy 
34291, with no exemption for free trade zones,BARKLEY MICHAEL JAMES MR,2,economy 
34298,fund ccctype program to thin out forests to reduce occurrences of fires like rim fire in locations such as mt,BARKLEY MICHAEL JAMES MR,2,economy 
34348,fund or share in environmental cleanup costs of domestic rareearth mining,BARKLEY MICHAEL JAMES MR,2,economy 
34389, consider currency reform for fair trade act,BARKLEY MICHAEL JAMES MR,2,economy 
34431,increase funding for aids,BARKLEY MICHAEL JAMES MR,2,economy 
34442,consider funding and expanding khan academy concept,BARKLEY MICHAEL JAMES MR,2,economy 
34464,fund clearing va disability claim and mental health backlogs,BARKLEY MICHAEL JAMES MR,2,economy 
34465, fund va efforts sufficiently to allow to clear backlog and to provide immediate positive response in possible suicide situations,BARKLEY MICHAEL JAMES MR,2,economy 
34479,adopt budget below and restore school funding in every state,BARKLEY MICHAEL JAMES MR,2,economy 
34490,adopt and fund salt lake city and houston solutions,BARKLEY MICHAEL JAMES MR,2,economy 
34503,reexamine nafta and free trade agreements shipped millions of jobs out of country,BARKLEY MICHAEL JAMES MR,2,economy 
34512, consider supporting trade,BARKLEY MICHAEL JAMES MR,2,economy 
34513, development and employment trade act of ,BARKLEY MICHAEL JAMES MR,2,economy 
34517, consider excise tax on funds or profits parked offshore,BARKLEY MICHAEL JAMES MR,2,economy 
34597,fund preservation and restoration of rain forests and coral reefs,BARKLEY MICHAEL JAMES MR,2,economy 
34598,restore funding to legal services corporation enhance funding of crla,BARKLEY MICHAEL JAMES MR,2,economy 
34629,support congresswoman lees no more ghost money act,BARKLEY MICHAEL JAMES MR,2,economy 
34651,fund preservation and restoration of rain forests and coral reefs halt collapse of oceans diversity,BARKLEY MICHAEL JAMES MR,2,economy 
34653,youngak increase funding for studying nearearth objects,BARKLEY MICHAEL JAMES MR,2,economy 
34654,devise fund ways to clean up manmade garbage on ocean floor,BARKLEY MICHAEL JAMES MR,2,economy 
34661,adopt taxpayer funds held in trust act,BARKLEY MICHAEL JAMES MR,2,economy 
34666, no direct or indirect foreign aid or any funding shall paid to any government or organization not remove from constitution,BARKLEY MICHAEL JAMES MR,2,economy 
34683,water recover for people of california value of ,BARKLEY MICHAEL JAMES MR,2,economy 
34759, reexamine kelloggbriand pact fund clearing va disability claim and mental health backlogs,BARKLEY MICHAEL JAMES MR,2,economy 
34792,recover for people of california value of ,BARKLEY MICHAEL JAMES MR,2,economy 
34805,fund serious infrastructure maintenance and upgrades highways bridges,BARKLEY MICHAEL JAMES MR,2,economy 
34810,fund list at mjbarklcominfrastrjpg,BARKLEY MICHAEL JAMES MR,2,economy 
34835, legalize industrial hemp fund research on possibilities of industrial hemp,BARKLEY MICHAEL JAMES MR,2,economy 
34911, and ratingagency fees fully fund sec,BARKLEY MICHAEL JAMES MR,2,economy 
34938, or at least fund prek education for atrisk kids,BARKLEY MICHAEL JAMES MR,2,economy 
34939, fund afterschool and gang avoidance programs for atrisk kids,BARKLEY MICHAEL JAMES MR,2,economy 
34943,consider funding and expanding khan academy concept require and fund restoration of wood and metal shop classes and life skills class components such as personal budgeting at all high schools,BARKLEY MICHAEL JAMES MR,2,economy 
34994,increase americorps funding explore ways to bring justice to matter of tim dechristopher,BARKLEY MICHAEL JAMES MR,2,economy 
35147, adopt federal level antiprofiling act fund relief for mexican border deportee refugee camps,BARKLEY MICHAEL JAMES MR,2,economy 
35217,increase funding for studying nearearth objects,BARKLEY MICHAEL JAMES MR,2,economy 
35218, pbs arts funding friend posted noam chomsky quote asserting phrases like support troops mean nothing,BARKLEY MICHAEL JAMES MR,2,economy 
35351, dny infrastructure fund serious infrastructure maintenance and upgrades highways bridges,BARKLEY MICHAEL JAMES MR,2,economy 
