,name,text,count
21,AGUILAR ERICK JAVIER DR,"pete aguilar represents californias 31st congressional district in san bernardino county. elected to congress in 2014, pete was one of only three democratic candidates nationally to flip their seat from redtoblue. prior to being elected to congress, pete served as the mayor of redlands.",44
22,AGUILERA JUSTIN,"ive lived in santa clara county my entire life. i was born and raised in the east side of san jose. my grandparents were dairy farmers. i am proud of my community. i attended valley christian high school and then california state university monterey bay. i majored in kinesiology and was a collegiate athlete. im happily married to my beautiful wife, candace. i am a businessman and work in a family owned company. i felt that i could make a difference, as a servant of my community, when the promise of hope and change never came to fruition. i want to take action; i respect the opportunities that i have been given. i want to see citizens, of this bountiful land, become successful and live their dreams. we are all dreamers and we can all live a great life, united and working together to achieve our goals. we must implement our laws and protect our borders. i support legal immigration. i believe in small government and lower taxes. i salute and stand for a strong military. i only kneel for one person. i support second amendment rights. its time for a new generation. its time to hold the toxic disaster of washington d.c and california accountable. ; together we stand, together we unite. vote justin aguilera on november 3rd.",219
23,AGUILERA JUSTIN,"my job is to make sure that the people in district 19 are represented. it does not matter what your beliefs are, what demographic you represent, or what kind of work you do. we need to stand united, working together to make a change for our future and for our childrens future.",52
24,AGUILERA JUSTIN,"living in silicon valley, the most expensive housing market in the country, makes it unattainable for many to own a home or own a home near their work. we can combat this issue with highspeed public transportation allowing many to commute from a more affordable location.",46
25,AHN ROBERT LEE,"robert lee ahn understands that climate change is an urgent threat to our economy and our childrens future. robert will defend the pledge we made at the paris climate conference to reduce greenhouse gas emissions and put the united states on a path to reduce american oil consumption. on day one, robert lee ahn will call on congress to invest in clean energy infrastructure and innovation.",66
26,AHN ROBERT LEE,"robert lee ahn will ensure that america pursues a foreign policy that is sane, just and maintains our strong support for the under attack democracies of south korea and israel. robert is firmly and unequivocally committed to the state of israel and will speak out for our friend, the one true democracy in the middle east.",56
27,AHN ROBERT LEE,"as a former republican he switched his affiliation in 2012 and more centrist politician, ahn has collected testimonials from members of both parties. former l.a. mayor richard riordan, a republican, announced his support at the end of may, and former california gop chairman shawn steel has backed ahn as well.",50
28,AHN ROBERT LEE,"in 2017 there were original 23 contenders on the ballot to fill californias 34th district seat in the house. the race eventually was whittled down to two democrats jimmy gomez and robert lee ahn. head to a runoff next tuesday june 6, after neither of them drew the required 50 percent of the vote for an outright win in the crowded april primary. and while one has the edge when it comes to funds raised, the other is the clear winner among outside spending groups.",85
29,AHN ROBERT LEE,"robert was a charter member and served on the board of directors of the pacific american volunteer association pava. pava was founded in 2001 to promote volunteerism with an emphasis on environmental concerns. pava organizes large scale clean up events of our beaches, coasts and the los angeles river.",49
30,AHN ROBERT LEE,"robert lee ahn believes every child deserves a quality education. robert will fight to ensure that our most vulnerable and atrisk children have tools to thrive in todays economy and skills to compete in tomorrows economy. robert understands that for our children to have any chance of competing in a complex and rapidly changing global economy, a college education must be affordable.",62
31,AHN ROBERT LEE,"roberts education was greatly enhanced by the many programs offered at local parks, including art classes, youth camps, and little league baseball. he was a regular at the westside ymca, taking competitive swimming and jujitsu classes and excelling in the youth basketball program.",43
32,AHN ROBERT LEE,"los angeles city planning commissioner robert lee ahn, a long time community activist, fervent environmentalist, successful entrepreneur and public interest attorney brings to the race to replace congressman xavier becerra who is retiring to become california attorney general a lifetime of dedication to the los angeles community and two decades of private sector experience building businesses and creating jobs.",59
33,AHN ROBERT LEE,"ahn has spent almost twice as much as gomez on mailers and postage for his campaign overall a whopping 500,000, according to fec data. many voters in the district received what they called misleading and manipulative mail from ahn leading up to the primary. some of the mail appeared to have information on new polling places in the area, only to have advertisements for ahn inside. ahn also used potholders as campaign advertisements, spending about 148,000 to send them out to voters. much of the super pac activity has centered on mail, too, as well as phone banks and in some cases online ads. one thing thats been almost entirely missing tv ads. the candidates and groups avoided investing in the costly l.a. tv market in favor of other means of attracting voters.",133
34,AHN ROBERT LEE,"since may 17, 48hour notices showing donations of 1,000 or more indicate that ahn has received more than twice as much as gomez in gifts of that size, 140,000 to 59,000. but gomezs support from outside spending groups has far surpassed ahns. from midmay to the start of june, gomez has benefited from about 300,000 in spending by several super pacs, fec reports show; most of that 240,000 has come from the latino victory fund. only one such group has spent money to support ahn in that time period citizens for a better government, which has spent just under 92,000.",100
35,AHN ROBERT LEE,"the two candidates have been heavily relying on advertising by mail to get their campaign messages out. as of june 2, gomez had reported spending about 245,000 on mailers, including postage, since the start of his campaign, according to fec data. he has also spent sizable amounts on billboards, newspaper ads and phone banks.",54
36,AHN ROBERT LEE,it is our solemn duty to ensure those who have sacrificed for us receive the benefits and care they have earned. we owe a debt that must be paid. we must improve the quality of healthcare and create and fund programs that provide the opportunities and tools our veterans deserve.,50
37,AHN ROBERT LEE,"my understanding is that the trump administration is in the process of developing policy to address north koreas dangerous and threatening behaviors. one thing is certain, ahn concluded, the international community cannot afford to continue to allow kim jong uns aggressive behavior to continue.",44
38,AHN ROBERT LEE,"then city council president eric garcetti appointed robert to the los angeles city redistricting commission in 2011 and in 2013, mayor garcetti appointed him to the los angeles city planning commission where he has served the residents of the 34th congressional district with distinction.",44
39,AHN ROBERT LEE,"the korean american democratic committee kadc is a political action committee based out of los angeles, california. kadc is a countywide chartered democratic club under the los angeles county democratic party. since its inception in 1992 after the los angeles riots, kadc has mobilized the korean american community to vote and participate in the local, state and federal electoral process.",60
40,AHN ROBERT LEE,"roberts father, james ahn, was elected and serves as the president of the korean american federation kafla, the oldest korean american organization in los angeles. as a senior advisor to the president of kafla, robert helps build relationships with important service organizations like los angeles community college, wilshire boulevard temple, and the anderson munger ymca where he serves on the board of directors.",63
41,AHN ROBERT LEE,"the last candidates standing, democrats jimmy gomez and robert lee ahn, head to a runoff next tuesday june 6, after neither of them drew the required 50 percent of the vote for an outright win in the crowded april primary. the winner will replace xavier becerra, who vacated the position after being appointed californias attorney general.",56
42,AHN ROBERT LEE,"these, by far have been the most enjoyable and informative experiences of this entire campaign. we have already attended several coffee hours and have more coming. i really look forward to these, said robert lee ahn, congressional candidate in the race to replace xavier beccera in the 34th district. following his coffee hour that took place at the home of jennifer levin and john eisendrath in hancock park last saturday afternoon, ahn reflected on the latest in a series of events taking place throughout the district. immigration, healthcare, the environment and the trump administration top the list of issues being discussed at these informal gettogethers that are taking place in every corner of the district. its retail politics, shaking peoples hands and looking them in the eye and letting them know where i stand on the issues and hearing the issues that they want me to prioritize. people are tired of politics as usual. they want someone who can help clean up the mess in washington and who isnt beholden to special interests. they want a leader. someone who can be effective on day 1. i am that candidate, concluded ahn.",191
43,AHN ROBERT LEE,it is our moral obligation to treat every person with dignity. it is essential to our national security that we fix the visa backlog. robert lee ahn will make it a priority to introduce legislation for comprehensive humane immigration reform. robert will fight to end family detention and close detention centers.,51
44,AHN ROBERT LEE,"john yi, the president of the korean american democratic committee stated, robert lee ahns candidacy is an exciting and invaluable opportunity for us to elect a progressive korean american to congress. robert has a solid track record of being a strong advocate for our community, and he is exactly the kind of champion we need in a congress dominated by republicans and president trump.",64
45,AHN ROBERT LEE,"the 34th district represents all of koreatown, chinatown, little tokyo, as well as all or parts of historic filipinotown, hollywood, hancock park, downtown, eagle rock, boyle heights, city terrace, echo park, el sereno, glassell park, highland park, lincoln heights, mt. washington, montecito heights, and westlakepico union.",46
46,AHN ROBERT LEE,"upon graduation from what is now the harvardwestlake school, robert and his family moved to the wilshire center neighborhood near koreatown. he attended emory university in atlanta where he earned a bachelors degree in business administration. while at emory, robert tutored atrisk high school children in math and english, and volunteered at habitat for humanity where he worked building housing for the poor and to improve the quality of lives for the citys underserved residents.",75
47,AHN ROBERT LEE,"ahn said that north korea has launched a number of missiles over the past few months and also conducted 2 nuclear tests last year. the north korean nuclear threat is real and imminent, placing south korea and japan in danger. left unchecked, it is only a matter of time before north korea will develop a delivery system capable of delivering a nuke to southern california.",65
48,AHN ROBERT LEE,"the 34th district represents all of koreatown, chinatown, little tokyo, as well as all or parts of historic filipinotown, hollywood, hancock park, downtown, eagle rock, boyle heights, city terrace, echo park, el sereno, glassell park, highland park, lincoln heights, mt. washington, montecito heights, and westlakepico union. based on the political data incorporated pdi count report as of march 2017, there are 18,694 registered korean american voters in the 34th district and according to the 2010 us census, there are over 1.7 million koreans living in the united states. robert lee ahn, if elected, would be the only korean american to hold a seat in the united states congress. this would be historic.",112
49,AHN ROBERT LEE,"if elected, robert lee ahn will be the only korean american serving in congress and only the 16th asian american. for far too long we have not had a seat at the table, the concerns of our community are often ignored. this is our chance to stand up and be counted. we can no longer wait for someone else to be our voice. it is our time and we must seize it, said ahn. if everyone takes this as a personal responsibility, we will be successful. if people stay home and dont vote, we wont; its that simple. ahn will be there in person registering voters throughout the event. im excited to meet people and register them. this also gives me an opportunity to talk to voters and share ideas and hear from our community.",135
50,AHN ROBERT LEE,"robert lee ahn is a native angelino. he was born in 1975 at usc county hospital in los angeles to newly arrived immigrants from south korea. to support robert and his younger sister, his parents, james and jain ahn, worked long hours at numerous jobs and, as a result, he and his younger sister, christine, spent much of their youth with their grandparents",63
51,AHN ROBERT LEE,"in 2017 the 34th congressional district of california held a special election for the u.s. house of representatives on june 6, 2017. californias 34th congressional district is located in the southern portion of the state and includes part of los angeles county. it is one of the most ethnically diverse districts in the nation, stretching from koreatown, chinatown and little tokyo to the skyscrapers of downtown and communities of eagle rock and city terrace, california. democrats jimmy gomez and robert lee ahn were the top two votegetters in a primary field of 23 candidates and advanced to the general election. gomez and ahn competed in the runoff election on june 6, 2017. this was the website for robert lee ahn. gomez ultimately defeated ahn by more than 20 percent, 60.1 percent to 30.9 percent. content is from the sites 2017 archived pages as well as from other outside soources.",149
52,AHN ROBERT LEE,"in addition to that loan, ahn, a former los angeles city planning commissioner who has also worked as an attorney and in real estate, gave his campaign 8,400 in february before the primary. on top of that, he loaned himself another 295,000 in march, according to his prespecial filing. gomez, who has been in the state assembly since 2012, hasnt put any of his own money into the race.",69
53,AHN ROBERT LEE,"the original 23 contenders on the ballot to fill californias 34th district seat in the house have dwindled to two. and while one has the edge when it comes to funds raised, the other is the clear winner among outside spending groups.",42
54,AHN ROBERT LEE,"prerunoff reports the candidates filed with the federal election commission indicate ahn was the more successful fundraiser in the april 1may 17 period, bringing in 550,000 to gomezs 330,000. but included in ahns total is a 195,000 loan he gave to himself; the two have actually brought in almost the same amount in contributions. pacs, including many associated with labor unions, gave gomez nearly half of his total for the prerunoff, while ahn received all of his funds from individuals.",80
55,AHN ROBERT LEE,"president donald trump and extremists in congress seek to strip the elderly and our childrens access to quality, affordable health care. robert lee ahn will stand up to the republicanled attacks on the affordable care act. robert lee ahn will lead the fight to expand health care access for every american!",51
56,AHN ROBERT LEE,"together, gomez and ahn both of whom have parents who immigrated to the u.s., gomezs from mexico and ahns from south korea have spent more than 2 million so far on this election since early in the year when they started their campaigns.",43
57,AHN ROBERT LEE,"because my mother worked in the same building where roberts office was located, she often rode up in the elevator with him. one morning she reached out to him for help when a google search for her name started revealing inappropriate personal information regarding her chemo treatments. he took her contact info and called her that evening. he agreed that there was a problem and promised that if he were elected he would introduce or support legislation requiring google and publishers to delete problem google results when personal information was involved. she was grateful that someone was actually listening to her problem and promising a fix. roberts concern for my mother was really surprising to me, and i feel it demonstrates the kind of sensitivity we need in our elected officials. im supporting robert lee ahn and hope you will as well. tom wilson jr.",145
58,AHN ROBERT LEE,"the next coffee hour is at the popular zweet caf in eagle rock on tuesday, march 20th, hosted by none other than the candidates own sister, christine cho, who also resides in the 34th district. i am so proud of him. hes always been someone who looks out for others. he has always been someone who tries to make things better for people, always trying to help, said cho. growing up, bobby always looked out for me. he is a great big brother and i know he will make a great congressman. im excited about this opportunity to introduce him to my friends and neighbors. i hope lots of people come and hear from bobby and learn what i already know, that hes the best choice for congress, concluded cho.",130
59,AHN ROBERT LEE,"robert earned a law degree at the university of southern california law school. he clerked for superior court judge richard fruin and served as a law clerk at riley and reiner llp, where he worked with, and learned from, former los angeles district attorney ira reiner. robert climbed his way up the legal ladder working for several distinguished private law firms. in 2008, he was named vice president and general counsel of the luzatto company, a privately held independent real estate investment and development company.",85
60,AHN ROBERT LEE,"robert is a candidate in the special election to replace retiring congressman xavier becerra in the united states house of representatives. the 34th district includes all of koreatown, chinatown, little tokyo as well as all or parts of historic filipinotown, hollywood, hancock park, downtown, eagle rock, boyle heights, city terrace, echo park, el sereno, glassell park, highland park, lincoln heights, mt. washington, montecito heights, and westlakepico union.",67
61,AHN ROBERT LEE,"in 2010, robert joined the family business working on real estate and business investments and asset management. throughout the course of his business career, robert experienced all aspects of business operations and has first hand knowledge of the many challenges faced by small independent business owners and their employees.",49
62,AHN ROBERT LEE,"beginning friday, march 17th at 1000am, the robert lee ahn for congress campaign will be registering voters to participate in the april 4th election. the popular bcd tofu house located at 3575 wilshire blvd., will host the event in hopes of registering many of the 27,000 unregistered koreans in the 34th congressional district. this may be our communitys only opportunity to have a voice in the united states house of representatives. it is vital that everyone is registered and that everyone casts a vote, explained campaign manager david meraz. we want everyone to come down to bcd tofu house at any time of day or night and register to vote. we dont want there to be any excuses to not register and vote, concluded meraz.",125
63,AHN ROBERT LEE,"robert attended local public schools in the los angeles unified school district until he was accepted into the prestigious harvard school for boys, an elite private college preparatory school located in the san fernando valley, where he played point guard with teammates, and future nba stars, jason and jarron collins.",50
64,AHN ROBERT LEE,"following the korean american democratic committee kadc february board meeting, where all the candidates were given the opportunity to interview for endorsement, the kadc board members enthusiastically voted in support of endorsing ahn because he was clearly the most knowledgeable on issues of foreign policy and the most qualified.",49
65,ALLEN RICHARD W,"by providing your email address or cell phone number you are consenting to receive emails, calls and texts, including autodialed and automated calls and texts, to that email address or phone number from rick w. allen for congress. message and data rates may apply. message frequency varies. text stop to opt out or help for help.",56
66,ALLEN RICHARD W,"by providing your email address or cell phone number you are consenting to receive emails, calls and texts, including autodialed and automated calls and texts, to that email address or phone number from rick w. allen for congress. message and data rates may apply. message frequency varies. text stop to opt out or helpread more",55
67,ALLEN RICHARD W,"after prayerful consideration with my family and many words of encouragement from friends, i am proud to announce my campaign to replace john barrow with a conservative family man and small business leader. georgians are telling me its time to replace out of touch politicians with conservatives who know what it means to live within a budget and create jobs.",60
68,ALLEN RICHARD W,"early voting begins all across georgia on monday, october 12, 2020. visit the georgia secretary of states advanced voting location information page to confirm your countys early voting locations. appling county board of elections and registrar 69 tippins street, suite 205, baxley ga 31513 monday through friday, october 12 through october 30, 2020 800 am read more",57
69,ALLEN RICHARD W,"i know firsthand about creating jobs in spite of the obstacles put in place by the federal government. after i graduated from auburn universitys school of architecture and fine arts with a bachelor of science degree in building construction, i founded r.w. allen associates, a construction corporation with offices in augusta and athens.",53
70,ALLEN RICHARD W,"if you supply us with your postal address online you may receive periodic mailings from us with information on new products and services or upcoming events. if you do not wish to receive such mailings, please let us know by calling us at the number provided above.",47
71,ALLEN RICHARD W,please provide us with your name and phone number. we will be sure your name is removed from the list we share with other organizations. with respect to ad servers we do not partner with or have special relationships with any ad server companies.,44
72,ALLEN RICHARD W,"it is clear that washington is broken. jobkilling policies, overregulation, and antiquated tax laws have plagued us for far too long, stifling american entrepreneurism. it is time to get washington back on the path to a prosperous economy and i will fight to make that happen.",46
73,ALLEN RICHARD W,"we know that every vote makes a difference and that democrats will not go down without a fight. to ensure we are turning out all of our supporters and have the votes necessary to win on november 3, we are asking you to confirmed how you plan to vote.",49
74,ALLEN RICHARD W,"from time to time, we may use customer information for new, unanticipated uses not previously disclosed in our privacy notice. if our information practices change at some time in the future we will post the policy changes to our web site to notify you of these changes and we will use for these new purposes only data collected from the time of the policy change forward. if you are concerned about how your information is used, you should check back at our web site periodically.",85
75,ALLEN RICHARD W,"democrats are on a mission to turn georgia blue. joe biden, kamala harris, chuck schumer and nancy pelosi and her liberal squad would be a disaster for georgia, and a disaster for america. we cant let that happen. commit to voting in november 3rds general election to make sure we keep georgia red! by providing your emailread more",58
76,ALLEN RICHARD W,"persons who supply us with their telephone numbers online may receive telephone contact from us with information regarding new products and services or upcoming events. if you do not wish to receive such telephone calls, please let us know by sending us email at the above address.",47
77,ALLEN RICHARD W,"we collect the domain name and email address where possible of visitors to our web page, the email addresses of those who post messages to our bulletin board, the email addresses of those who communicate with us via email, the email addresses of those who make postings to our chat areas, aggregate information on what pages consumers access or visit, userspecific information on what pages consumers access or visit, information volunteered by the consumer, such as survey information andor site registrations, name and address, telephone number, payment information e.g., credit card number and billing address.",95
78,ALLEN RICHARD W,"a recent poll shows a tight race between president donald trump and joe biden. we know that every vote makes a difference and that democrats will not go down without a fight. to ensure we are turning out all of our supporters and have the votes necessary to win on november 3, we are askingread more",56
79,ALLEN RICHARD W,"stay uptodate on all of our critical election updates, voting alerts and rapid response messages setting the record straight when the fake news and democrats attacks. add your information below to receive updates directly from team allen. by providing your email address or cell phone number you are consenting to receive emails, calls andread more",55
80,ALLEN RICHARD W,residential address street address apt. or lot city alabama alaska arizona arkansas california colorado connecticut delaware district of columbia florida georgia hawaii idaho illinois indiana iowa kansas kentucky louisiana maine maryland massachusetts michigan minnesota mississippi missouri montana nebraska nevada new hampshire new jersey new mexico new york north carolina north dakota ohio oklahoma oregon pennsylvania rhode island south carolina south dakota tennessee texas utah vermont virginia washington west virginia wisconsin wyoming armed forces americas armed forces europe armed forces pacific state zip code,83
81,AMATA AUMUA,amata was a member of the 1986 american council of young political leaders study tour of australia and was elected a member of the acypl alumni council in 1987. she was a member of the advance team for the historic 1990 honolulu summit between president george h.w. bush and pacific island leaders and assisted the presidents delegation in the meeting; she also was washington advance liaison for the vice presidents 1989 visit to pago pago.,75
82,AMATA AUMUA,"amata has been a community activist from american samoa who volunteers with the hospital womens auxiliary and is a member of business and professional women. a 25year cancer survivor, amata has served as a spokesperson for the samoan womens health project to promote cancer awareness and bring mammography to the territory and has been the liaison to the national breast cancer coalition since 1993. she also is a member of the board of field house 100 american samoa, a nonprofit organization devoted to finding athletic scholarship opportunities in the states for talented high school athletes in american samoa.",98
83,AMATA AUMUA,"amata has a bachelors degree from the university of guam, with additional studies at loyolamarymount and george mason universities. one of 13 children of the late governor and mrs. peter tali coleman, she is married to fred radewagen. together they have three grown children and two grandchildren.",47
84,AMATA AUMUA,"in 2001, the hill zoo online newspaper chose amata as one of its 52 staffers of the week from among more than 20,000 capitol hill staffers. in 2003 she became the first and only pacific islander ever chosen as outstanding woman of the year by the national association of professional asian american women napaw. in 2008, she received the international leadership foundations visionary award and in 2013 was presented the inspirational speaker award at the ninth annual samoan athletes heart of champions ceremony in la mesa, california.",87
85,AMATA AUMUA,"amata coleman radewagen, republican, was elected as american samoas third member of congress on november 4, 2014. she is the first woman elected to the u.s. house of representatives from american samoa. she is the first republican woman of samoan descent in congress. she is also her partys highestranking asian pacific elected federal officeholder in the nation. she has been the most senior member of the republican national committee since 2012 and holds the orator talking chief title of aumua from the village of pago pago in american samoa, where she is a registered voter. in winning 75.4 of the vote in her 2016 reelection, she attained the highest number of votes for any elective office in american samoa history.",120
86,AMATA AUMUA,"amata also has been very involved in helping build democratic institutions abroad. as a trainer since 1992, she has participated in missions to kazakhstan, cambodia, kyrgyzstan, and morocco for the international republican institute and the international foundation for electoral systems. she has conducted training in washington for iraqi, congolese and uyghur women leaders. other international work has included participation in several pacific regional conferences.",64
87,AMATA AUMUA,"on the republican national committee rnc, she has served on the chairmans executive council, the committee on arrangements for six national conventions and the standing committee on rules. she has attended eight republican national conventions, twice has been an officer of the convention and has been a member of the convention committee on rules six times. in 2013 she was appointed to the chairmans commission on convention planning and, in recognition of her leadership in pacific islander communities nationally, received the rncs inaugural trailblazer award named for mary louise smith, the first woman ever to serve as rnc chairman.",99
88,AMATA AUMUA,"a member of the u.s. house of representatives majority leadership staff for eight years, amata was conference scheduling director and supervised the database created to reach out to asian pacific and other minority aspirants for congressional staff positions. she also served as scheduling director to u.s. rep. philip crane ril, the dean of the house republican conference at the time of his retirement. earlier in her career, she served at the u.s. office of economic opportunity and the department of health, education, and welfare. she also was the first executive assistant to the first delegateatlarge to washington from american samoa.",100
89,AMATA AUMUA,"on april 23, 2017, vice president stopped in american samoa to dedicate the new va clinic to the late eni faleomavega. it was amatas hard work that helped build the new clinic and it was also her who suggested naming it for eni. if you click on a picture, it will enlarge and you can download the picture.",58
90,AMATA AUMUA,"appointed by president george w. bush in 2001 as a white house commissioner for asian americans and pacific islanders aapi, where she chaired the community security committee, amata was the only pacific islander on the 15member commission, which advised the president on aapi issues and issued a landmark report on the health care needs of americas aapi communities. amata has been the featured speaker over the years at numerous asian pacific american heritage observances, including those at numerous military bases in conus and europe.",84
91,AMATA AUMUA,"a life member of the capitol hill club and a founding member of the american samoa society, other affiliations over the years have included the guam society of america and the hawaii state society as well as the womens foreign policy group in washington and the independent womens forum. she also belongs to the pan pacific and southeast asia womens association. amatas biography appears in whos who in politics, whos who in the south and southwest and on the united states list of the secretariat of the pacific communitys register of skilled women in the pacific. she also was one of the 100 women profiled in the women of american samoa 19002000 a hundred years if development and achievements, a book prepared in conjunction with the centennial observances of american samoa as a u.s. territory.",135
92,AMATA AUMUA,"in 2017 amata introduced, congress passed, and president trump signed into law legislation naming the american samoa veterans clinic in honor of her predecessor, the late congressman eni f.h. faleomavaega; vice president mike pence accepted her invitation to preside over the designation ceremony.",43
93,ANDERSON JUSTIN,"justin doesnt just talk about foreign policy, hes lived it. he doesnt just talk about public safety, hes lived it. he didnt just move to our district; hes been a connecticut resident for decades. his knowledge of state and national issues is readily apparent whenever he speaks.",47
94,ANDERSON JUSTIN,"justin is a lieutenant colonel who earned the bronze star serving in afghanistan, a union member who oversaw our states most dangerous criminals at a maximum security prison and a selfless public servant, currently running for the u.s. house of representatives.",41
95,ANDERSON JUSTIN,"many of the issues facing our nation are as important and relevant to those facing our 64 local towns here in eastern connecticut, from andover to woodstock. knowing a candidates position regarding many of the issues old and new is critical to understanding how he will represent and protect your interests in washington.",53
96,AQUINO DARREN DIONE MR,"darren is a puertorican, italian american who began advocating for the disabled in 1983. darren developed this national nonprofit in 1999, with a unique concept all members and volunteers are disabled. this comprehensive network of members and volunteers assist the disabled community with any and all issues related to the lack of societal integration, lack of due processwhich is fundamental rightand lack of fair and equal treatment.",67
