,Unnamed: 0,name,text,count,class_simple,topics
78,78,ALLEN RICHARD W,"a recent poll shows a tight race between president donald trump and joe biden. we know that every vote makes a difference and that democrats will not go down without a fight. to ensure we are turning out all of our supporters and have the votes necessary to win on november 3, we are askingread more",56,0,social_policy
91,91,AMATA AUMUA,"a life member of the capitol hill club and a founding member of the american samoa society, other affiliations over the years have included the guam society of america and the hawaii state society as well as the womens foreign policy group in washington and the independent womens forum. she also belongs to the pan pacific and southeast asia womens association. amatas biography appears in whos who in politics, whos who in the south and southwest and on the united states list of the secretariat of the pacific communitys register of skilled women in the pacific. she also was one of the 100 women profiled in the women of american samoa 19002000 a hundred years if development and achievements, a book prepared in conjunction with the centennial observances of american samoa as a u.s. territory.",135,6,security_policy
93,93,ANDERSON JUSTIN,"justin doesnt just talk about foreign policy, hes lived it. he doesnt just talk about public safety, hes lived it. he didnt just move to our district; hes been a connecticut resident for decades. his knowledge of state and national issues is readily apparent whenever he speaks.",47,8,foreign_policy
148,148,ARENHOLZ ASHLEY HINSON,cookies are used to collect standard internet log information and visitor behavior information in an anonymous form. the information generated by the cookie about your use of the website including ip address is transmitted to google. this information is then used to evaluate visitors use of the website and to compile statistical reports on website activity for ashley hinson for congress.,61,7,domestic_policy
159,159,ARORA HARRY,"we need a modern transportation system for the 21st century. our state spends over 2 bn. every year but we have little to show for it. we overspend billions on projects which have low usage and low returns across the state. we underinvest in fairfield county and the most highly used transportation assets, the mta. the train service has deteriorated over the last decade. it takes longer today than 10 years ago to travel from greenwich to grand central. our local transit system is also ineffective. in an era of ride sharing we have buses which run half full most of the time. we need to invest smartly in our transportation system understanding that we are in an era of ridesharing and work mobility.",124,12,infra_transpo
161,161,ARORA HARRY,"the connecticut economy needs a business supportive environment. we need fiscal and regulatory policies which attract businesses. in the last decade, hartford under a one party democratic governance has created a hostile regulatory and fiscal regime. as a result of red tape and a high tax burden, businesses have been leaving connecticut. we have about the same population today as we did in 2010 but income growth over the same period has been negative. we need to change that. as a member of the commerce committee in the connecticut general assembly i have been a tireless advocate of attracting investment to our state.",103,2,economy 
167,167,ARORA HARRY,"our school district is one of the best in the state and in the country. our school is funded by local property taxes and we get no state funding. however, now hartford democrats want to take control of our property taxes and regionalize our schools. these last two years, we had to fight hard to defeat the regionalization school proposal which would have involved merging school districts which are well run with those which have challenges. wilton, weston and fairfield were all in the merge proposal and the greenwich school district was certainly on the minds of some in hartford. we have ensured that we keep local control of schools. during covid19, senate democrats have argued for keeping the schools closed this fall. we need to ensure a safe reopening of our schools rather than give in to union interests in hartford.",142,4,education
168,168,ARORA HARRY,"the state of connecticut has a spending problem. we have a bloated bureaucracy and our spending is inefficient and wasteful. it is no secret that our state employee benefits and pension systems need to be reformed. the approach the current administration is taking to solving the problem is by increasing taxes. in the last budget, new payroll taxes have been imposed, sales taxes on essential items have been increased, and now tolls are being proposed. instead of cutting wasteful spending, our state administration is doubling down. we have to stop and reverse this policy blunder. our state income tax began in 1991 as a small temporary tax. a new state payroll tax has been instituted in 2020 as a small oneoff tax we have seen this play out.",128,2,economy 
169,169,AVERHART JAMES,james personal military decorations include the legion of merit; navy and marine corps commendation medal wfour gold stars in lieu of fifth award; navy and marine corps achievement medal wgold star in lieu of third award; combat action ribbon; marine corps good conduct medal wthree bronze stars; and the marine corps outstanding volunteer service medal wgold star in lieu of second award.,62,6,security_policy
178,178,AVERHART JAMES,"students, faculty, and staff should not be forced into an environment where they have to spend more time taking precautions instead of learning and teaching. this return, especially when the numbers are surpassing 800 confirmed cases daily, is a tremendous threat to the health of those that are encountering each other. according to the alabama department of public health, in the last two weeks of july, there was a 40 percent increase of cases among children, accounting for 97, 078 during that time frame.",84,4,education
183,183,AVERHART JAMES,"secondly, i am not a career politician. like you, i am simply a concerned citizen. one who is ready to work alongside you as your agent for change. together, we will seek sound solutions to the issues that we have seen plague our communities, our counties, our state and our nation far too long.",54,3,election 
186,186,AVERHART JAMES,"at the end of the day, some students and teachers may go home to people that are considered high risk if they contract the virus. it is all about protecting the health of all people. we have to do what is right to protect the students and teachers. they are not expendable.",52,4,education
193,193,AVERHART JAMES,"many school districts across the state are returning back to the traditional classroom for the 20202021 school year. the faculty and staff of these schools have undergone training and prepared the school for what they consider a safe return. even though measures of sanitizing, social distancing, and temperature screenings are taking place, the threat of covid19 still looms on buses, in halls, in restrooms, and in classrooms. this means that the health of many students and teachers, especially those with preexisting health conditions, are at stake.",86,4,education
198,198,AVERHART JAMES,"there is a push to get students back in school, but the timing is not right. at this present moment of uncertainty, students and teachers should be using alternate methods. there is no reason for them to return to the classroom when online options are available. mr. chresal threadgill, superintendent of the mobile county public school system took the wellbeing of the students, faculty, and staff into consideration by making the decision to begin the school year remotely for the 1st nine weeks. an assessment will be done to determine whether or not traditional school will begin. if it does, there will be three options in place traditional, remote, or virtual.",111,4,education
205,205,BARKLEY MICHAEL JAMES MR,"fund clearing the va disability claim and mental health backlogs; fund va efforts sufficiently to allow it to clear the backlog and to provide immediate positive response in possible suicide situations; upgrade positive suicide response time from 17 days to immediate; expand veterans care to all veterans, not just those serving at certain times or in certain theaters.",58,2,economy 
207,207,BARKLEY MICHAEL JAMES MR,"transportation transportation safety advocate restoring cuts to essential air service, if any; carefully examine micas bill hr 658, 032011; consider using gas tax money to subsidize air service to smaller regional airports require a national standard minimum commercial airline legroom. require sensors for when there is an obstruction on a rail crossing after the arms come down, and thence an automatic full stop for the oncoming train. require seatbelts on intercity buses and trains 2013, looks like congress is doing this! great. subsidize greyhound or amtrak bus service to small towns require that adjacent public transit agencies such as stanislaus and san joaquin provide interagency transfer points with syncronized schedules require collision avoidance and speed control systems on all motor vehicles by 2025 urge gm to return to manteca require a beltway plan for all cities over 50,000 population link i205i580 to i505 upgrade sr99 to interstate highway status",149,3,election 
210,210,BARKLEY MICHAEL JAMES MR,"extend hardwood flooring tariffs to laminate flooring and lumber in general, raise those tariffs to competitive levels in 2016 the modesto bee made fun of this platform plank, which of course means only that they didnt understand it and didnt care enough to ask. a few years ago a tariff came through on some imports of hardwood products and not others including hardwood flooring, so i added this as a reminder to ask why? if an opportunity arose to do so.",81,1,occupation
218,218,BARKLEY MICHAEL JAMES MR,"immigration pass the dream act; initiate a private bill project to accomplish the goals of the dream act until such time as the dream act is adopted. establish within ice uscis a joint office of reuniting families and give it the power to carry out its mission and cut through time and bureaucracy, to act within 30 days upon the petition of any u.s. citizen to protect a relative issue at least a permanent green card to protected spouses, and ancestors, siblings, descendants, nephews nieces, and their spouses and eliminate all citizenship application waiting periods and any requirement to return to the home country for them, including any already deported but excluding those awaiting prosecution for or convicted of a felony or accepting deportation in lieu of prosecution for a felony unless the felony is an immigration law violation; suppport the respect families resolution. except for offering water, food, clothing, shelter, or medical care, require that border patrol or ice does not talk with a family member related to or anyone suspected of being an undocumented alien without first there being a qualified attorney appointed for that person and that attorney being present. require that persons facing deportation be furnished counsel adopt deportation is a criminal penalty, to ensure full rights in prosecution; expand h.r.4936 vulnerable immigrant voice act 201314 jeffires, dny to cover all immigrants under threat of deportation consider shortening statutes of limitation for wrongful immigration to 5 years including for reimmigration after deportation except for persons deported who have been convicted of a felony or who accepted deportation in lieu of prosecution for a felony; provide that such limitation shall apply regardless of whether or not it is asserted end the 3 10year ban on reentry support bernie sanders was a fair and humane immigration policy challenge the racist portions of the safe communities actkeep our communities safe act; adopt a federal level antiprofiling act fund relief for the mexican border deportee refugee camps. recognize and respect the differences between immigrants and refugees.",336,9,immigration
219,219,BARKLEY MICHAEL JAMES MR,"grant 15,000 payment in first trimester or 10,000 in second trimester for any pregnant woman of any age who decides not to have an abortion, which may be applied for in any appearance at a qualified abortion clinic, which clinic shall also receive a compensatory payment sufficient to make the decision financially neutral for a typical clinic if the other payment is accepted. such payment shall be made even if the woman never had any intent of obtaining an abortion; scrap the hyde amendment and ensure planned parenthood is treated equally in all government funding.",95,1,occupation
220,220,BARKLEY MICHAEL JAMES MR,"guns see constitutional below blacklivesmatter repeal the 2005 gun manufacturer lawsuit shield act the protection of lawful commerce in arms act plcaa ; remove the litigation protection enjoyed by the gun industry; subject gun manufacturers to tort liability and cpsc jurisdiction set aside the prohibition against the cdc researching gun violence, and fund the research. ban lead bullets; educate the public on the risks of using steel bullets in dry grass.",71,7,domestic_policy
231,231,BARKLEY MICHAEL JAMES MR,"voter rights provide that the sole criteria for voter registration and regulation of persons registering voters in the u.s. shall be by regulations set by the federal elections commission extend the voting rights act section 5 preapproval process to all electing jurisdictions; add the 2012 disenfranchise states to section 5 of the voting rights act outlaw the imposition of any requirement for registering to vote other than the unsupported declaration under penalty of perjury that the person registering is eligible to vote ban the increasing statelevel insistance on governmentissued photoids for voting, limits on student voting, and limits on sameday registration adopt registrationfriendly rules for voter registration drives define as a poll tax any photoid requirement for voting, any candidate filing fee, any candidate party endorsement application fee provide for early voting in all jurisdictions provide that every polling place that accumulates a waiting line of more than one hour on election day shall be open for voting the next day regardless of the day of the week that would be. support hillary clintons count every vote act of 2005 s. 450 consider adding to all elections the option for a voter to make hisher vote a public vote rather than a secret vote to aid in testing and reducing voterecording and counting fraud such as that as has been alleged in ohio in 2004. provide that any multijurisdictional campaign to interfere with the electoral franchise shall be prosecutable under rico and related statutes, including those efforts using a sham excuse of preventing voter fraud support hr 5799 voter empowerment act of 2012, by rep. john lewis of georgia to reverse alec jim crow laws, h.r. 12 201314 support attorney general holders proposal for automatic voter registration of all citizens; make voting a right to be taken away, not a privilege to be requested; support national, electronic, automatic voter registration. consider norm ornsteins voter lottery as an incentive to vote change the fcc candidate preference rules to exclude negative ads from preferred rates. consider supporting h.r.20 government by the people act of 2014, sarbanse dmd exclude campaign contributions received, from section 8 and other safety net calculations. adopt 1 the legislature finds that the practice of political parties charging candidates a fee to be considered for endorsement is inherently corrupt and deceptive and therefore adopts 2 it shall be unlawful for any government agency to include any candidate endorsement in any governmentfunded voter pamphlet where the candidate was charged a fee for consideration of that endorsement. robocalls or robodialers must identify themselves as such.",424,3,election 
237,237,BARKLEY MICHAEL JAMES MR,"infrastructure fund serious infrastructure maintenance and upgrades highways bridges, rail, waterways ports, air, communications, power, electrical transmission, fuel, nuclear power plant seismic retrofits, sewage treatment plants and drinking water systems, move utilities underground, etc. ; fund the list at mjbarkl.cominfrastr.jpg another time magazine infrastructure issue 04102017 construct a multitrack gradeseparated freight rail beltway around chicago construct a multitrack gradeseparated freight and passenger rail beltway around new york city fund the chicago belt create projects install manual backups to the electrical smart grid upgrade the locks on the mississippi river system install broadband for all install a onestop permitting process for major and multistate projects and add federal funding agencies underground the puerto rico u.s. virgin islands electric power grid; for that matter do the same for mainland hurricane belt and tornado belt communities. eliminate the puerto rico prohibition on bringing in automobiles not first sold in puerto rico and establish an auto ferry between miami and san juan. finish the san juan rapid transit system establish an infrastructure bank, httpen.wikipedia.orgwikinationalinfrastructurereinvestmentbank support the partnership to build america act of 2013, hr 2084, delaney dmd support the durbin privatization limitation bill",189,2,economy 
244,244,BARKLEY MICHAEL JAMES MR,"adopt labor union bill of rights for all unions, including government employee unions, nationwide adopt right to collective bargaining adopt right to strike, picket boycott, for any reason or location allow and protect secondary boycotts, secondary strikes, general srikes, and sitdown strikes adopt or strengthen card checkmajority signup adopt the employee free choice act 2009 h.r. 1409s.560 consider allowing and protecting minority unions provide that union certification votes shall succeed by a majority of those workers voting, not by a majority of workers eligible to vote set aside any requirement that there be periodic recertification votes abolish right to work replace tafthartley 14b 29 usc 164b with a specific preemption of state laws on righttowork and a specific ban on right to work laws repeal any other unionbusting portions of tafthartley require project labor agreements where possible for all federal, state, and local contracts. allow snapfood stamps for striking workers and their families provide that any political campaign rights or privileges allowed corporations shall also be allowed unions ; prohibit the paycheck protection scheme extend full collective bargaining rights to temporary workers. extend full union protection to unions of independent truck drivers ban the practice of hiring permanent replacement workers to replace striking workers. allow common situs picketing",208,1,occupation
247,247,BARKLEY MICHAEL JAMES MR,"adopt, campaign funding, amend 1. congress may regulate political campaign funding as it chooses. 2. corporations are not persons; money is not speech. support 201314 hjr 20 21 29 2018 cant find these? , congress to regulate campaign money, and corporations are not people.",44,3,election 
249,249,BARKLEY MICHAEL JAMES MR,"adopt,voting, amend 1. every citizen shall have the right to vote in all jurisdictions that include the citizens declared principal residence. 2. exercise of that right to vote shall be under such regulations as the congress shall make. support the 2013 pocanellison right to vote amendment, h.j. res. 25 cant find this one either? or, the right to vote of citizens over the age of 18 shall not be infringed.",70,3,election 
254,254,BARKLEY MICHAEL JAMES MR,"support steve israels student loan employment benefits act of 2012 hr 5129, the student loan forgiveness act of 2012, h.r. 4170; the student loan fairness act hr 1330, karen bass, 2013, h.r. 4582, bank on students emergency loan refinancing act, courtney dct 2013, 15, s.2432 bank on students emergency loan refinancing act 201314 warren dma",55,4,education
255,255,BARKLEY MICHAEL JAMES MR,"support president obamas preschool for all proposal, or at least fund prek education for atrisk kids; fund afterschool and gang avoidance programs for atrisk kids; if not already, require that compensation packages for head start and other prek faculty and staff match k12 levels; expand affordable child care and after school programs with tax credits; support the strong start for americas children act of 2013 h.r. 3461, miller dca",69,3,election 
257,257,BARKLEY MICHAEL JAMES MR,summaryhigh points adopt medicare for all adopt the labor bill of rights bring jobs back from overseas humanize personal income solve housing upgrade infrastructure fund greyhound solve climate change nationalize the right to vote and protect the voting system replace impeachment fix californias flooding risk and water shortages adopt u.s. balanced budget humanize immigration fund education black lives matter repeal the right to keep and bear arms,67,5,healthcare
258,258,BARKLEY MICHAEL JAMES MR,"student loans, consider forgive student debt for stem graduates at the time they receive their diplomas; support steve israels student loan employment benefits act of 2012 hr 5129, the student loan forgiveness act of 2012, h.r. 4170; the student loan fairness act hr 1330, karen bass, 2013, h.r. 4582, bank on students emergency loan refinancing act, courtney dct 2013, 15, s.2432 bank on students emergency loan refinancing act 201314 warren dma keep student loan interest rates low; provide that no student loan shall bear an interest rate higher than the lowest rate charged banks by the treasury or the federal reserve ban the inclusion of student loans on credit reports until such time as they are subject to bankruptcy support h.r.532 private student loan bankruptcy fairness act of 2013, cohen, either the entity that holds the debt finds you a decent job, or else treat student debt like any other debt in bankruptcy require deferral of student loans for military on active duty require deferral of student loans for disabled people for the duration of the disability. exempt social security from student loan garnishment.",184,4,education
262,262,BARKLEY MICHAEL JAMES MR,"where plastic ties have been acquired in interstate commerce or in any way with federal funds, make it a federal felony to use them in lieu of handcuffs in such away as causes any damage whatsoever to those upon whom they are used.",43,10,environment
263,263,BARKLEY MICHAEL JAMES MR,"more education adopt the budget below and restore school funding in every state support free community college; support free state college tuition; support senator sanders college for all act support president obamas preschool for all proposal, or at least fund prek education for atrisk kids; fund afterschool and gang avoidance programs for atrisk kids; if not already, require that compensation packages for head start and other prek faculty and staff match k12 levels; expand affordable child care and after school programs with tax credits; support the strong start for americas children act of 2013 h.r. 3461, miller dca allow campaign funds to be used for child care. consider funding and expanding the khan academy concept require and fund restoration of wood and metal shop classes and life skills class components such as personal budgeting at all high schools; do the same for physical education, music, and art; establish or strengthen computer and engineering labs in high schools. rebalance the systems of educational scoring or bumping to get 99week or longer unemployed persons into the classes they need is there anything in the umbc model that can be pushed down into lower grades? outlaw the teaching of creationism in any school that receives funds from any government or hosts students in lieu of public schooling",214,4,education
265,265,BARKLEY MICHAEL JAMES MR,another time magazine infrastructure issue 04102017 construct a multitrack gradeseparated freight rail beltway around chicago construct a multitrack gradeseparated freight and passenger rail beltway around new york city fund the chicago belt create projects install manual backups to the electrical smart grid upgrade the locks on the mississippi river system install broadband for all install a onestop permitting process for major and multistate projects and add federal funding agencies,69,12,infra_transpo
267,267,BARKLEY MICHAEL JAMES MR,"more labor adopt the iceland equal pay standard that makes employers prove they offer equal pay regardless of gender, ethnicity, sexuality or nationality. reexamine the wagner act the national labor relations act of 1935 49 stat. 449 29 u.s.c. 151169 figure out how to set aside pattern makers league of north america v. nlrb, 1985 and then do so. adopt the employment nondiscrimination act of 2013 enda, s. 815 , and other years; support full federal recognition of gay rights. support the paycheck fairness act, s. 84 mikulski 201314 consider adopting the german system of labor bargaining rights support the pro act. support bernies workplace democracy act resurrect the look for the union label campaign as a federal campaign; pair with an effective look for the made in usa label campaign require online vendors to show prominently a made in . . . on every web page for every product offered. investigate increasing assertions of progressively inhumane working conditions at the u.s. postal service and impose a cure; oppose efforts to privatize the postal service or impair postal workers benefits; repeal the postal accountability and enhancement act of 2006 hr 6407 or support hr 1351 united states postal service pension obligation recalculation and restoration act of 2011; oppose hr 2309 issaross postal reform act; support hr 630sb316 postal service protection act of 2013, defazio oppose s.1486 postal reform act of 2014, carper, d examine instances where unions have cancelled retiree health insurance and restore such benefits where appropriate. support the bankruptcy fairness and employee benefits protection act of 2014, s 2418, rockefeller, dwv cover medical interns and residents under the fair labor standards act and end the barbaric exploitive sleep deprivation rite of passage remove the medical residency roadblocks that act as a quota limiting the number of practicing physicians . require minimum wages for food servers, home health workers, prisoners, and jurors the same as for all others; set part time wage levels 10 above that to discourage afforable care act avoidance; support the fair minimum wage act but make it 15 an hour, not 10.10. oppose hr 1406, 201314 which allows employers to avoid paying overtime provide for compensation without eligibility penalty of college athletes who produce college gross revenue require fair pay for professional sports cheerleaders consider reregulating air, trucking, rail, energy. . . ; repeal the union busting portions of the motor carrier act of 1980, the airline deregulation act of 1978, the railroad revitalization and regulatory reform act of 1976, the staggers rail act of 1980, etc. develop air quality standards for small independent truckers that will allow them to remain in business, and preempt such standards for them nationwide, including at the nations ports ; require foreign truckers to meet the same standards that domestic truckers have to meet; require clean indoor restrooms with running water for all port drivers and at all truck brake check areas and all regulatory scale facilities; explore other methods to assist small independent truckers sift through and adopt where appropriate the various initiatives of senator tom coburn, such as consolidating the numerous redundant federal job training programs weeding out what doesnt work and strengthening what does consider h.r. 1000 the humphreyhawkins 21st century full employment and training act, 201516, conyers provide that no charter school shall open unless the faculty and staff shall have full participation in the union contracts, membership, seniority, salaries, and benefits of the school district in which it is placed, or if there is no school district, of the proximate district largest in numbers of students. ban school vouchers oppose the union busting aspects of common core and race to the top reopen all the black lung cases on which dr. paul wheeler of johns hopkins had any input. figure out what to do about the temporary help scam whereby companies, especially large companies, use a revolving door of teams of lowpaid workers from temporary help agencies to avoid paying fair wages or benefits. reexamine the h1b visa program to make sure that every such visa is issued for a job skill not available in the usa and that issuing such visas does not depress usa wages close loopholes excluding public employees from paid family leave provisions.",703,1,occupation
271,271,BARKLEY MICHAEL JAMES MR,"recover for the people of california the value of the 1,000,000,000 of water taken illegally from stony creek by the u.s. bureau of reclamation and its clients set aside the angle decree restore the environmentally damaged and economically depressed upper stony creek watershed prove the safety of black butte dam abutments; adopt the angle act",55,2,economy 
273,273,BARKLEY MICHAEL JAMES MR,"provide that no charter school shall open unless the faculty and staff shall have full participation in the union contracts, membership, seniority, salaries, and benefits of the school district in which it is placed, or if there is no school district, of the proximate district largest in numbers of students.",50,4,education
274,274,BARKLEY MICHAEL JAMES MR,"provide that investigation, charging, and prosecution of peace officerinvolved homicides shall be by state prosecutors, not local, but in the event that state prosecutors are unable or unwilling to prosecute, it shall be by federal prosecutors who shall have all the rights and privileges of state and local prosecutors.and shall apply state law in the exercise of those rights; consider supporting the conyers and johnson police accountability bills; require the keeping of statistics on deaths at the hands of police in the usa, including who is armed or unarmed, who is facing or fleeing, the races of the victims, and such other data as might be indicative of a problem.",110,3,election 
277,277,BARKLEY MICHAEL JAMES MR,"reexamine nafta and the other free trade agreements that have shipped millions of jobs out of this country; reexamine other international job thieves such as globalization, outsourcing, deregulation, foreign currency manipulation, foreign below cost selling, foreign labor compensation and public protection differences, adverse tariff imbalances, gatt wto concessions, mostfavored nation concessions, and so on and bring every one of these jobs back home; consider supporting the trade, reform, accountability, development and employment trade act of 2009?, 110th 111th congress, h.r. 3012",81,2,economy 
280,280,BARKLEY MICHAEL JAMES MR,"require and fund restoration of wood and metal shop classes and life skills class components such as personal budgeting at all high schools; do the same for physical education, music, and art; establish or strengthen computer and engineering labs in high schools.",42,2,economy 
284,284,BARKLEY MICHAEL JAMES MR,"require human rights improvements by israel in exchange for continuing the 3,000,000,000 in annual foreign aid; conversely, no direct or indirect foreign aid or any other funding shall be paid to any government or organization that does not remove from its constitution, charter, bylaws or other governing documents any advocacy for the destruction of israel or its people.",58,8,foreign_policy
286,286,BARKLEY MICHAEL JAMES MR,"basically im seeing 4 kinds of health care improvement plans 1 enhanced improved affordable care act obamacare 2 actual medicare for all lower the eligible age to zero, still requires supplemental insurance, and since medicare is optional, it would be a public option 3 enhanced medicare for all existing strengthened, to eliminate the need for supplemental insurance 4 single payer 100 coverage, like taiwan, often being mislabeled medicare for all i would vote for any and all of these. my budget, below, pays for the first two if the other two are adopted i can rework my budget.",98,5,healthcare
287,287,BARKLEY MICHAEL JAMES MR,"require minimum wages for food servers, home health workers, prisoners, and jurors the same as for all others; set part time wage levels 10 above that to discourage afforable care act avoidance; support the fair minimum wage act but make it 15 an hour, not 10.10.",46,1,occupation
302,302,BARRAGAN NANETTE,"nanette understands that climate change is an urgent environmental problem and she intends to act accordingly. she will fight to combat climate change and work to transition us to clean, renewable energy. besides closing tax loopholes and ending subsidies for toxic polluters, nanette knows we have to employ creative strategies to attract and incentivize clean green businesses to locate in the 44th district.",63,10,environment
305,305,BARRAGAN NANETTE,"we also need a fair economy. no one who works fulltime often at more than one job should struggle to put food on the table. right now the federal minimum wage is 7.25 per hour. a fulltime minimum wage employee earns 15,080 annually. in 2012, the poverty threshold for a single person was 11,945 or 22,283 for a family of four. we need to fix that with a higher minimum wage.",71,2,economy 
306,306,BARRAGAN NANETTE,"education is the foundation of our nation. its a right not just a privilege afforded to americas wealthy. we must be dedicated to strengthening early education in order to provide our nations youth with the schooling they deserve. we need to make college more affordable for everyone. rising tuition rates and excessive student loan rates make college nearly impossible to pay for these days. congress must recognize that community colleges, trade schools, and universities can transform lives. a college degree opens up doors that would otherwise remain closed. higher education lifts up communities and helps end the cycle of poverty. students should never have to turn down a college degree because of their financial status. every child in america should have a pathway to success through an outstanding educational experience. that is one reason nanette dedicated pro bono hours as a child rights advocate to ensure childrens special educational needs were met.",152,4,education
307,307,BARRAGAN NANETTE,education is the one of nanettes top priorities because she firmly believes it is the number one equalizer. nanette is a product of public schools. her story of beating the odds and success today is something she credits because of her opportunity to get an education.,46,4,education
317,317,BARRAGAN NANETTE,"as an advisor to large and small businesses for the last ten years, nanette understands the need to balance business interests and jobs for our communities. we need to find ways to incentive clean green businesses to our district that will bring longterm jobs that do not put workers health and our communities at risk.",55,2,economy 
334,334,BILIRAKIS GUS M,"social security and medicare must remain fiscally solvent to ensure retirement security for current seniors, our children and grandchildren. however, social security has been operating at a deficit since 2010. unless social security is modernized and strengthened, these deficits may cause the annual costofliving adjustments to shrink or disappear entirely in the future. representative bilirakis strongly believes that congress must make serious fiscal reforms to ensure our financial stability while still ensuring that we uphold the commitments we have made to our seniors. he is absolutely opposed to legislation that will cut social security for seniors in order to pay for overseas operations, health care for others or any other program.",111,5,healthcare
346,346,BILIRAKIS GUS M,"bilirakis introduced the student visa security improvement act, which would ensure the united states properly vets potential students before they are granted visas for admission and would ensure they abide by the terms of that visa. gus also has cosponsored legislation to prevent states from issuing drivers licenses to illegal aliens, eliminate the visa lottery, and clarify that the administration should rigorously enforce current immigration laws.",66,4,education
353,353,BILIRAKIS GUS M,"as the grandson of greek immigrants, bilirakis is heavily invested in hellenic affairs. the region is vital to american interests, and greece is a strong ally of the united states. he is the cochair of the congressional caucus on hellenic affairs and the founding cochair of the congressional hellenic israel alliance. israel is a strategic ally in the region as well, sharing a common defense strategy with the united states, greece, cyprus, and other allies to thwart existential threats from bad actors in the region. in an increasingly connected world, it is important to recognize that upheaval and unrest in the middle east can have ripples that echo across the atlantic. american interests must be protected at all cost, and congressman bilirakis embraces the opportunity to work with world leaders to ensure a peaceful future in the middle east and at home.",142,9,immigration
356,356,BILIRAKIS GUS M,"the implementing the 911 commission recommendations act includes two proposals sponsored by congressman bilirakis. first, ensuring that rail and mass transit security coordinators are american citizens and requiring the realworld testing of rail tank cars carrying hazardous materials to determine the way to best protect them from attack.",48,6,security_policy
358,358,BILIRAKIS GUS M,"in march 2011, gus introduced the student visa security improvement act, which will improve the background checks conducted on student visa applicants from highrisk areas and enhance americas ability to ensure that foreign students are abiding by the terms of their visas once in the u.s. he has also introduced the metropolitan medical response system program act of 2011, h.r. 1411, to assist state and local governments in preparing for and responding to mass casualty incidents resulting from acts of terrorism, natural disasters, and other emergencies.",86,4,education
359,359,BILIRAKIS GUS M,"but like many competitive house races across the country, district 12 in many ways could be seen as a gauge on trump. ed schenk, 57, athletic director at citrus park christian school, said he voted for bilirakis despite his support of the opioid industry because bilirakis is a republican and supports donald trump.",53,0,social_policy
364,364,BILIRAKIS GUS M,"in the constitution, congress is tasked with the responsibility to raise and support our countrys national defense. congressman bilirakis is proud to support our nations women and men in uniform and understands the importance of providing our brave men and women of the armed forces with the resources they need, and to ensure the department of defense dod has the ability to develop new technologies and maintain existing infrastructures to meet those emerging threats. he is a member of the",80,7,domestic_policy
