,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,CAND_ICI,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,search_query,campaign_results_list
54,H8AR04130,"SHAMEL, HAYDEN CATHERINE",DEM,AR,4,Challenger,House,Arkansas,Democrat,"SHAMEL, HAYDEN CATHERINE Democrat Arkansas House","SHAMEL, HAYDEN CATHERINE Democrat Arkansas House 2021"
55,H2AR04083,"COTTON, THOMAS",REP,AR,4,Challenger,House,Arkansas,Republican,"COTTON, THOMAS Republican Arkansas House","COTTON, THOMAS Republican Arkansas House 2021"
56,H4AR04048,"WESTERMAN, BRUCE",REP,AR,4,Incumbent,House,Arkansas,Republican,"WESTERMAN, BRUCE Republican Arkansas House","WESTERMAN, BRUCE Republican Arkansas House 2021"
57,H8AR04148,"CALDWELL, RANDY",REP,AR,4,Challenger,House,Arkansas,Republican,"CALDWELL, RANDY Republican Arkansas House","CALDWELL, RANDY Republican Arkansas House 2021"
58,H0AS01016,"CRICHTON, ORETA TUFAGA-MAPU",DEM,AS,0,Challenger,House,American Samoa,Democrat,"CRICHTON, ORETA TUFAGA-MAPU Democrat American Samoa House","CRICHTON, ORETA TUFAGA-MAPU Democrat American Samoa House 2021"
59,H4AS00036,"AMATA, AUMUA",REP,AS,0,Incumbent,House,American Samoa,Republican,"AMATA, AUMUA Republican American Samoa House","AMATA, AUMUA Republican American Samoa House 2021"
60,H0AZ01358,"PUTZOVA, EVA",DEM,AZ,1,Challenger,House,Arizona,Democrat,"PUTZOVA, EVA Democrat Arizona House","PUTZOVA, EVA Democrat Arizona House 2021"
61,H6AZ01199,"O'HALLERAN, TOM",DEM,AZ,1,Incumbent,House,Arizona,Democrat,"O'HALLERAN, TOM Democrat Arizona House","O'HALLERAN, TOM Democrat Arizona House 2021"
62,H0AZ01366,"TAYLOR, CHRIS",REP,AZ,1,Challenger,House,Arizona,Republican,"TAYLOR, CHRIS Republican Arizona House","TAYLOR, CHRIS Republican Arizona House 2021"
63,H0AZ01390,"MOORE, JOHN WILLIAM",REP,AZ,1,Challenger,House,Arizona,Republican,"MOORE, JOHN WILLIAM Republican Arizona House","MOORE, JOHN WILLIAM Republican Arizona House 2021"
64,H0AZ01408,"REIDHEAD, NOLAN QUINN MR",REP,AZ,1,Challenger,House,Arizona,Republican,"REIDHEAD, NOLAN QUINN MR Republican Arizona House","REIDHEAD, NOLAN QUINN MR Republican Arizona House 2021"
65,H0AZ01424,"SHAMLEY, DOYEL",REP,AZ,1,Challenger,House,Arizona,Republican,"SHAMLEY, DOYEL Republican Arizona House","SHAMLEY, DOYEL Republican Arizona House 2021"
66,H2AZ01172,"RENZI, RICHARD G.",REP,AZ,1,Incumbent,House,Arizona,Republican,"RENZI, RICHARD G. Republican Arizona House","RENZI, RICHARD G. Republican Arizona House 2021"
67,H2AZ09035,"ROGERS, WENDY",REP,AZ,1,Challenger,House,Arizona,Republican,"ROGERS, WENDY Republican Arizona House","ROGERS, WENDY Republican Arizona House 2021"
68,H4AZ01145,"KIEHNE, GARY",REP,AZ,1,Challenger,House,Arizona,Republican,"KIEHNE, GARY Republican Arizona House","KIEHNE, GARY Republican Arizona House 2021"
69,H6AZ01173,"BENNETT, KEN",REP,AZ,1,Open seat,House,Arizona,Republican,"BENNETT, KEN Republican Arizona House","BENNETT, KEN Republican Arizona House 2021"
70,H8AZ01211,"CAVANAUGH, KEVIN",REP,AZ,1,Challenger,House,Arizona,Republican,"CAVANAUGH, KEVIN Republican Arizona House","CAVANAUGH, KEVIN Republican Arizona House 2021"
71,H8AZ01229,"SMITH, STEVE",REP,AZ,1,Challenger,House,Arizona,Republican,"SMITH, STEVE Republican Arizona House","SMITH, STEVE Republican Arizona House 2021"
72,H8AZ01237,"SHEDD, TIFFANY",REP,AZ,1,Challenger,House,Arizona,Republican,"SHEDD, TIFFANY Republican Arizona House","SHEDD, TIFFANY Republican Arizona House 2021"
73,H0AZ02240,"KOHLER, NEVIN",DEM,AZ,2,Challenger,House,Arizona,Democrat,"KOHLER, NEVIN Democrat Arizona House","KOHLER, NEVIN Democrat Arizona House 2021"
74,H0AZ02281,"QUILTER, PETER",DEM,AZ,2,Challenger,House,Arizona,Democrat,"QUILTER, PETER Democrat Arizona House","QUILTER, PETER Democrat Arizona House 2021"
75,H8AZ01104,"KIRKPATRICK, ANN",DEM,AZ,2,Incumbent,House,Arizona,Democrat,"KIRKPATRICK, ANN Democrat Arizona House","KIRKPATRICK, ANN Democrat Arizona House 2021"
76,H8AZ02136,"HEINZ, MATTHEW GERALD",DEM,AZ,2,Open seat,House,Arizona,Democrat,"HEINZ, MATTHEW GERALD Democrat Arizona House","HEINZ, MATTHEW GERALD Democrat Arizona House 2021"
77,H8AZ02235,"YUKSEL, YAHYA",DEM,AZ,2,Open seat,House,Arizona,Democrat,"YUKSEL, YAHYA Democrat Arizona House","YUKSEL, YAHYA Democrat Arizona House 2021"
78,H0AZ02174,"WADSACK, JUSTINE LOUISE",REP,AZ,2,Challenger,House,Arizona,Republican,"WADSACK, JUSTINE LOUISE Republican Arizona House","WADSACK, JUSTINE LOUISE Republican Arizona House 2021"
79,H0AZ02182,"MORGAN, JOSEPH DAVID",REP,AZ,2,Challenger,House,Arizona,Republican,"MORGAN, JOSEPH DAVID Republican Arizona House","MORGAN, JOSEPH DAVID Republican Arizona House 2021"
80,H0AZ02190,"MARTIN, BRANDON RAY",REP,AZ,2,Challenger,House,Arizona,Republican,"MARTIN, BRANDON RAY Republican Arizona House","MARTIN, BRANDON RAY Republican Arizona House 2021"
81,H0AZ02224,"LIGON, MIKE",REP,AZ,2,Challenger,House,Arizona,Republican,"LIGON, MIKE Republican Arizona House","LIGON, MIKE Republican Arizona House 2021"
82,H0AZ02232,"STAUTZ, SHAY",REP,AZ,2,Challenger,House,Arizona,Republican,"STAUTZ, SHAY Republican Arizona House","STAUTZ, SHAY Republican Arizona House 2021"
83,H0AZ02265,"RUDEN, NORAN ERIC",REP,AZ,2,Challenger,House,Arizona,Republican,"RUDEN, NORAN ERIC Republican Arizona House","RUDEN, NORAN ERIC Republican Arizona House 2021"
84,H2AZ08102,"MCSALLY, MARTHA",REP,AZ,2,Incumbent,House,Arizona,Republican,"MCSALLY, MARTHA Republican Arizona House","MCSALLY, MARTHA Republican Arizona House 2021"
85,H8AZ02185,"MARQUEZ PETERSON, LEA",REP,AZ,2,Open seat,House,Arizona,Republican,"MARQUEZ PETERSON, LEA Republican Arizona House","MARQUEZ PETERSON, LEA Republican Arizona House 2021"
86,H8AZ02201,"MARTIN, BRANDON RAY",REP,AZ,2,Open seat,House,Arizona,Republican,"MARTIN, BRANDON RAY Republican Arizona House","MARTIN, BRANDON RAY Republican Arizona House 2021"
87,H8AZ02227,"MORALES, DANIEL ROMERO JR",REP,AZ,2,Open seat,House,Arizona,Republican,"MORALES, DANIEL ROMERO JR Republican Arizona House","MORALES, DANIEL ROMERO JR Republican Arizona House 2021"
88,H2AZ07070,"GRIJALVA, RAUL M",DEM,AZ,3,Incumbent,House,Arizona,Democrat,"GRIJALVA, RAUL M Democrat Arizona House","GRIJALVA, RAUL M Democrat Arizona House 2021"
89,H0AZ03453,"RONNEBECK, STEVE",REP,AZ,3,Challenger,House,Arizona,Republican,"RONNEBECK, STEVE Republican Arizona House","RONNEBECK, STEVE Republican Arizona House 2021"
90,H0AZ03461,"WOOD, DANIEL",REP,AZ,3,Challenger,House,Arizona,Republican,"WOOD, DANIEL Republican Arizona House","WOOD, DANIEL Republican Arizona House 2021"
91,H6AZ03179,"SAN MIGUEL, EDNA",REP,AZ,3,Challenger,House,Arizona,Republican,"SAN MIGUEL, EDNA Republican Arizona House","SAN MIGUEL, EDNA Republican Arizona House 2021"
92,H8AZ03142,"ARELLANO, SERGIO",REP,AZ,3,Challenger,House,Arizona,Republican,"ARELLANO, SERGIO Republican Arizona House","ARELLANO, SERGIO Republican Arizona House 2021"
93,H0AZ04519,"STARKY, STUART",DEM,AZ,4,Challenger,House,Arizona,Democrat,"STARKY, STUART Democrat Arizona House","STARKY, STUART Democrat Arizona House 2021"
94,H8AZ04140,"BRILL, DAVID H",DEM,AZ,4,Challenger,House,Arizona,Democrat,"BRILL, DAVID H Democrat Arizona House","BRILL, DAVID H Democrat Arizona House 2021"
95,H8AZ04165,"DISANTO, DELINA",DEM,AZ,4,Challenger,House,Arizona,Democrat,"DISANTO, DELINA Democrat Arizona House","DISANTO, DELINA Democrat Arizona House 2021"
96,H0AZ01259,"GOSAR, PAUL DR.",REP,AZ,4,Incumbent,House,Arizona,Republican,"GOSAR, PAUL DR. Republican Arizona House","GOSAR, PAUL DR. Republican Arizona House 2021"
97,H0AZ04535,"WARD, ANNE MARIE",REP,AZ,4,Challenger,House,Arizona,Republican,"WARD, ANNE MARIE Republican Arizona House","WARD, ANNE MARIE Republican Arizona House 2021"
98,H2AZ04135,"GOULD, RON",REP,AZ,4,Challenger,House,Arizona,Republican,"GOULD, RON Republican Arizona House","GOULD, RON Republican Arizona House 2021"
99,H0AZ04527,"ROBINSON, EMILY",IND,AZ,4,Challenger,House,Arizona,Independent,"ROBINSON, EMILY Independent Arizona House","ROBINSON, EMILY Independent Arizona House 2021"
100,H0AZ05185,"RAMOS, JAVIER GARCIA MR.",DEM,AZ,5,Challenger,House,Arizona,Democrat,"RAMOS, JAVIER GARCIA MR. Democrat Arizona House","RAMOS, JAVIER GARCIA MR. Democrat Arizona House 2021"
101,H8AZ05154,"GREENE, JOAN",DEM,AZ,5,Challenger,House,Arizona,Democrat,"GREENE, JOAN Democrat Arizona House","GREENE, JOAN Democrat Arizona House 2021"
102,H2AZ06148,"ADAMS, KIRK DAVID",REP,AZ,5,Open seat,House,Arizona,Republican,"ADAMS, KIRK DAVID Republican Arizona House","ADAMS, KIRK DAVID Republican Arizona House 2021"
103,H6AZ05083,"BIGGS, ANDY MR.",REP,AZ,5,Incumbent,House,Arizona,Republican,"BIGGS, ANDY MR. Republican Arizona House","BIGGS, ANDY MR. Republican Arizona House 2021"
104,H6AZ05091,"OLSON, JUSTIN",REP,AZ,5,Open seat,House,Arizona,Republican,"OLSON, JUSTIN Republican Arizona House","OLSON, JUSTIN Republican Arizona House 2021"
105,H6AZ05125,"JONES, CHRISTINE",REP,AZ,5,Open seat,House,Arizona,Republican,"JONES, CHRISTINE Republican Arizona House","JONES, CHRISTINE Republican Arizona House 2021"
106,H0AZ06068,"RIMMER, STEPHANIE S",DEM,AZ,6,Challenger,House,Arizona,Democrat,"RIMMER, STEPHANIE S Democrat Arizona House","RIMMER, STEPHANIE S Democrat Arizona House 2021"
107,H0AZ06084,"GENTLES, KARL E",DEM,AZ,6,Challenger,House,Arizona,Democrat,"GENTLES, KARL E Democrat Arizona House","GENTLES, KARL E Democrat Arizona House 2021"
108,H8AZ06103,"MALIK, ANITA",DEM,AZ,6,Challenger,House,Arizona,Democrat,"MALIK, ANITA Democrat Arizona House","MALIK, ANITA Democrat Arizona House 2021"
109,H8AZ08083,"TIPIRNENI, HIRAL VYAS",DEM,AZ,6,Challenger,House,Arizona,Democrat,"TIPIRNENI, HIRAL VYAS Democrat Arizona House","TIPIRNENI, HIRAL VYAS Democrat Arizona House 2021"
110,H0AZ01184,"FLAKE, JEFF MR.",REP,AZ,6,Challenger,House,Arizona,Republican,"FLAKE, JEFF MR. Republican Arizona House","FLAKE, JEFF MR. Republican Arizona House 2021"
111,H4AZ06045,"SCHWEIKERT, DAVID S.",REP,AZ,6,Incumbent,House,Arizona,Republican,"SCHWEIKERT, DAVID S. Republican Arizona House","SCHWEIKERT, DAVID S. Republican Arizona House 2021"
112,H0AZ06092,"LEWELLEN, TOM MR.",C,AZ,6,Challenger,House,Arizona,Other,"LEWELLEN, TOM MR. Other Arizona House","LEWELLEN, TOM MR. Other Arizona House 2021"
113,H2AZ02055,"PASTOR, ED L",DEM,AZ,7,Challenger,House,Arizona,Democrat,"PASTOR, ED L Democrat Arizona House","PASTOR, ED L Democrat Arizona House 2021"
114,H4AZ07043,"GALLEGO, RUBEN",DEM,AZ,7,Incumbent,House,Arizona,Democrat,"GALLEGO, RUBEN Democrat Arizona House","GALLEGO, RUBEN Democrat Arizona House 2021"
115,H8AZ07044,"MIRANDA, CATHERINE",DEM,AZ,7,Challenger,House,Arizona,Democrat,"MIRANDA, CATHERINE Democrat Arizona House","MIRANDA, CATHERINE Democrat Arizona House 2021"
116,H0AZ07082,"BARNETT, JOSH",REP,AZ,7,Challenger,House,Arizona,Republican,"BARNETT, JOSH Republican Arizona House","BARNETT, JOSH Republican Arizona House 2021"
117,H0AZ08072,"MUSCATO, MICHAEL ARCHANGEL",DEM,AZ,8,Challenger,House,Arizona,Democrat,"MUSCATO, MICHAEL ARCHANGEL Democrat Arizona House","MUSCATO, MICHAEL ARCHANGEL Democrat Arizona House 2021"
118,H0AZ08080,"OLSEN, ROBERT",DEM,AZ,8,Challenger,House,Arizona,Democrat,"OLSEN, ROBERT Democrat Arizona House","OLSEN, ROBERT Democrat Arizona House 2021"
119,H8AZ08208,"SAWDY, STEVEN",DEM,AZ,8,Challenger,House,Arizona,Democrat,"SAWDY, STEVEN Democrat Arizona House","SAWDY, STEVEN Democrat Arizona House 2021"
120,H8AZ08232,"MUSSELWHITE, ROBERT RICHARD",DEM,AZ,8,Challenger,House,Arizona,Democrat,"MUSSELWHITE, ROBERT RICHARD Democrat Arizona House","MUSSELWHITE, ROBERT RICHARD Democrat Arizona House 2021"
121,H6AZ03112,"STUMP, BOB",REP,AZ,8,Open seat,House,Arizona,Republican,"STUMP, BOB Republican Arizona House","STUMP, BOB Republican Arizona House 2021"
122,H8AZ08158,"LESKO, DEBBIE",REP,AZ,8,Incumbent,House,Arizona,Republican,"LESKO, DEBBIE Republican Arizona House","LESKO, DEBBIE Republican Arizona House 2021"
123,H0AZ09062,"FUENTES-WOLFE, TALIA",DEM,AZ,9,Challenger,House,Arizona,Democrat,"FUENTES-WOLFE, TALIA Democrat Arizona House","FUENTES-WOLFE, TALIA Democrat Arizona House 2021"
124,H2AZ09019,"SINEMA, KYRSTEN",DEM,AZ,9,Incumbent,House,Arizona,Democrat,"SINEMA, KYRSTEN Democrat Arizona House","SINEMA, KYRSTEN Democrat Arizona House 2021"
125,H2AZ09027,"SCHAPIRA, DAVID",DEM,AZ,9,Challenger,House,Arizona,Democrat,"SCHAPIRA, DAVID Democrat Arizona House","SCHAPIRA, DAVID Democrat Arizona House 2021"
126,H8AZ09040,"STANTON, GREG",DEM,AZ,9,Incumbent,House,Arizona,Democrat,"STANTON, GREG Democrat Arizona House","STANTON, GREG Democrat Arizona House 2021"
127,H8AZ09065,"ARAUJO, HECTOR MR.",DEM,AZ,9,Open seat,House,Arizona,Democrat,"ARAUJO, HECTOR MR. Democrat Arizona House","ARAUJO, HECTOR MR. Democrat Arizona House 2021"
128,H0AZ03321,"PARKER, VERNON",REP,AZ,9,Challenger,House,Arizona,Republican,"PARKER, VERNON Republican Arizona House","PARKER, VERNON Republican Arizona House 2021"
129,H0AZ09021,"TUTORA, NICHOLAS",REP,AZ,9,Challenger,House,Arizona,Republican,"TUTORA, NICHOLAS Republican Arizona House","TUTORA, NICHOLAS Republican Arizona House 2021"
130,H2AZ06155,"GRANTHAM, TRAVIS W.",REP,AZ,9,Open seat,House,Arizona,Republican,"GRANTHAM, TRAVIS W. Republican Arizona House","GRANTHAM, TRAVIS W. Republican Arizona House 2021"
131,H4AZ09023,"WALTER, ANDREW",REP,AZ,9,Challenger,House,Arizona,Republican,"WALTER, ANDREW Republican Arizona House","WALTER, ANDREW Republican Arizona House 2021"
132,H6AZ09010,"GILES, DAVID VICTOR",REP,AZ,9,Challenger,House,Arizona,Republican,"GILES, DAVID VICTOR Republican Arizona House","GILES, DAVID VICTOR Republican Arizona House 2021"
133,H6AZ09036,"AGRA, JOHN",REP,AZ,9,Challenger,House,Arizona,Republican,"AGRA, JOHN Republican Arizona House","AGRA, JOHN Republican Arizona House 2021"
134,H8AZ09032,"LEIBSOHN, SETH MR.",REP,AZ,9,Open seat,House,Arizona,Republican,"LEIBSOHN, SETH MR. Republican Arizona House","LEIBSOHN, SETH MR. Republican Arizona House 2021"
135,H8AZ09016,"BARONESS VON BEHR, IRINA",IND,AZ,9,Challenger,House,Arizona,Independent,"BARONESS VON BEHR, IRINA Independent Arizona House","BARONESS VON BEHR, IRINA Independent Arizona House 2021"
136,H8CA01257,"DENNEY, AUDREY L",DEM,CA,1,Challenger,House,California,Democrat,"DENNEY, AUDREY L Democrat California House","DENNEY, AUDREY L Democrat California House 2021"
